,precision,recall,f1,precision_shift,recall_shift,f1_shift,f1_weighted
nussinov,0.1520204830207043,0.1894426600948508,0.1681801518400732,0.1800299975392824,0.2247270200919128,0.1992907906453958,0.1182161870433159
viennaRNA,0.5502599569460906,0.6111326744864802,0.5767203134932553,0.573732016995838,0.6381879948701249,0.6017075962085336,0.5295642520458574
contrafold,0.5924670084806479,0.6491286757346098,0.6167274629230722,0.6161677873340147,0.6763054706773228,0.6418854697512989,0.5753560352780845
CNNfold,0.8723239289386174,0.8215468276189881,0.841670359783259,0.8859138976282792,0.8336984163045643,0.8543851010645783,0.7786173525459921
RNAUnet,0.9373621005361458,0.8547339089188547,0.8880106056783711,0.9480313624358736,0.8640414964179833,0.8977529215454125,0.8437554998828289
RNAUnet16,0.9408481172146498,0.8801440652642702,0.9041939319800346,0.9511429152176958,0.8895093711501415,0.913881710681032,0.8565115670219183
