lengths GPU,times w/o post-processing GPU,times for only prediction GPU,times w/o conversion GPU,times total GPU
30,0.1133129596710205,0.1076540946960449,0.145226240158081,0.1508862972259521
54,0.1286141872406005,0.1053807735443115,0.2376961708068847,0.2609307765960693
58,0.0370881557464599,0.0051815509796142,0.1478974819183349,0.179805040359497
64,1.2292463779449463,1.161768674850464,1.7068567276000977,1.7743382453918457
70,0.0448424816131591,0.0035212039947509,0.219684362411499,0.2610065937042236
70,0.0447697639465332,0.0041263103485107,0.2325110435485839,0.2731552124023437
70,0.0441851615905761,0.0035393238067626,0.2164902687072754,0.2571372985839844
70,0.0366735458374023,0.0040457248687744,0.2205822467803955,0.253211498260498
71,0.0421595573425293,0.0035297870635986,0.2208077907562255,0.2594382762908935
71,0.0444719791412353,0.0035302639007568,0.2280166149139404,0.2689590454101562
71,0.0446157455444335,0.0035431385040283,0.2289557456970214,0.270029067993164
71,0.0440132617950439,0.0035202503204345,0.2231748104095459,0.2636690139770508
71,0.0443518161773681,0.0035252571105957,0.2221801280975341,0.263007640838623
71,0.0484223365783691,0.0039794445037841,0.2303395271301269,0.2747831344604492
71,0.0433251857757568,0.0035383701324462,0.2248725891113281,0.2646603584289551
71,0.0426211357116699,0.003523826599121,0.2272672653198242,0.2663655281066894
71,0.0432965755462646,0.0035202503204345,0.2255387306213379,0.2653157711029053
71,0.0447964668273925,0.0035102367401123,0.2253615856170654,0.266648530960083
71,0.0463061332702636,0.003504991531372,0.2286717891693115,0.2714736461639404
71,0.0437207221984863,0.0035319328308105,0.2242505550384521,0.2644400596618652
71,0.0441288948059082,0.0037918090820312,0.2222449779510498,0.2625830173492431
71,0.0422859191894531,0.0035088062286376,0.2212910652160644,0.2600691318511963
71,0.04360032081604,0.0035445690155029,0.2225346565246582,0.2625916004180908
71,0.0466566085815429,0.00384521484375,0.2280066013336181,0.2708184719085693
71,0.0472297668457031,0.0035192966461181,0.2291159629821777,0.2728271484375
71,0.0428075790405273,0.0035114288330078,0.2225515842437744,0.2618482112884521
71,0.044677734375,0.0035333633422851,0.2364017963409423,0.2775471210479736
71,0.0457556247711181,0.003516674041748,0.2288525104522705,0.2710921764373779
71,0.0426719188690185,0.0035419464111328,0.2178199291229248,0.256951093673706
71,0.0428950786590576,0.0037178993225097,0.2205612659454345,0.2597391605377197
71,0.0431599617004394,0.0035326480865478,0.2205080986022949,0.2601358890533447
71,0.0420465469360351,0.0035266876220703,0.2237095832824707,0.2622315883636474
71,0.043860912322998,0.0038418769836425,0.2230379581451416,0.2630577087402344
71,0.0477771759033203,0.0035245418548583,0.2272675037384033,0.2715210914611816
71,0.0454864501953125,0.0035462379455566,0.2275753021240234,0.2695167064666748
71,0.0438466072082519,0.0035212039947509,0.2238805294036865,0.2642068862915039
71,0.0482237339019775,0.0039796829223632,0.228611946105957,0.2728567123413086
71,0.045192003250122,0.0035464763641357,0.2272911071777343,0.268937349319458
71,0.0412256717681884,0.0035288333892822,0.2190775871276855,0.2567751407623291
71,0.044823408126831,0.0035743713378906,0.2294366359710693,0.2706868648529053
71,0.0414779186248779,0.0035192966461181,0.2433586120605468,0.281318187713623
71,0.0447649955749511,0.0035586357116699,0.2238829135894775,0.2650899887084961
71,0.0457081794738769,0.0039680004119873,0.2277793884277343,0.2695202827453613
71,0.043626070022583,0.0035016536712646,0.2198762893676757,0.2600014209747314
71,0.046900987625122,0.0035107135772705,0.2309179306030273,0.2743086814880371
71,0.0472018718719482,0.0035152435302734,0.2339386940002441,0.2776262760162353
71,0.0433554649353027,0.0037083625793457,0.2216835021972656,0.2613310813903808
71,0.0465984344482421,0.0035319328308105,0.2274904251098632,0.2705576419830322
71,0.0441350936889648,0.0038378238677978,0.2268943786621093,0.2671923637390136
72,0.0459914207458496,0.0035338401794433,0.2281937599182129,0.2706525325775146
72,0.0438942909240722,0.0035343170166015,0.2278659343719482,0.2682266235351562
72,0.0456762313842773,0.0035314559936523,0.231363296508789,0.2735087871551513
72,0.0449748039245605,0.0035510063171386,0.2299559116363525,0.2713806629180908
72,0.0461928844451904,0.0035364627838134,0.2264940738677978,0.2691514492034912
72,0.045428991317749,0.0040590763092041,0.2327570915222168,0.2741281986236572
72,0.046682596206665,0.003535509109497,0.2376573085784912,0.2808051109313965
72,0.048128604888916,0.0035727024078369,0.2321751117706298,0.2767314910888672
72,0.0439982414245605,0.00352144241333,0.2283113002777099,0.2687892913818359
72,0.0458362102508544,0.0037147998809814,0.2324392795562744,0.2745614051818847
72,0.0480999946594238,0.0035181045532226,0.2328546047210693,0.2774372100830078
72,0.0492336750030517,0.0035305023193359,0.2433357238769531,0.2890396118164062
72,0.0470345020294189,0.0035171508789062,0.2328062057495117,0.2763245105743408
72,0.0465304851531982,0.0035398006439208,0.2322306632995605,0.2752220630645752
72,0.0466885566711425,0.0035343170166015,0.2320303916931152,0.2751853466033935
72,0.0445647239685058,0.0035207271575927,0.2347733974456787,0.2758181095123291
72,0.0436189174652099,0.0035195350646972,0.2268881797790527,0.2669880390167236
72,0.0450117588043212,0.003544807434082,0.2308287620544433,0.272296667098999
72,0.045386791229248,0.0035257339477539,0.2305974960327148,0.2724592685699463
72,0.0464859008789062,0.0035297870635986,0.232379674911499,0.2753365039825439
72,0.0462331771850585,0.0035400390625,0.2298686504364013,0.2725625038146972
72,0.0452797412872314,0.0035409927368164,0.2324471473693847,0.2741866111755371
72,0.0474371910095214,0.0035197734832763,0.2283382415771484,0.2722566127777099
72,0.0481939315795898,0.0035219192504882,0.2311604022979736,0.2758333683013916
72,0.0459406375885009,0.0035300254821777,0.2324867248535156,0.2748980522155761
72,0.0481624603271484,0.0035228729248046,0.2313258647918701,0.2759664058685303
