,Training_loss,Training_f1,Train_accuracy,Validation_loss,Validation_f1,Validation_accuracy
baseline,"[0.13064557314430916, 0.07903515799151004, 0.06261421313558131, 0.05322081253425202, 0.04616881763540966, 0.04131236614306734, 0.037247203726172705, 0.03416982962881459, 0.0314122243928725, 0.02926425754179408]","[0.8499471642293505, 0.9079578183095514, 0.9269468540104226, 0.9379499444126213, 0.9460821850251722, 0.9519377343103884, 0.9567944257287009, 0.9604473497413064, 0.9637689659911811, 0.966264751833772]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.09294699460288447, 0.07994079520393513, 0.06738429987896298, 0.05870380186724124, 0.05315502595623688, 0.0518252500693548, 0.04921553331421531, 0.0467849867322659, 0.04579195314845947, 0.044714021735848264]","[0.8915387974711131, 0.9061682998235296, 0.9218202837633711, 0.9319003293108172, 0.9382862523657725, 0.9399569712941821, 0.9430311421076675, 0.9463275577451694, 0.9474476010036272, 0.9488887892061917]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
large,"[0.13206625865118962, 0.08056750754114382, 0.06296605678421584, 0.05332313954651023, 0.04670768123985412, 0.04159068090816381, 0.03759203341038967, 0.034385725437391976, 0.03212322768554917, 0.029905802679450894]","[0.8484307058498635, 0.9064606966456409, 0.9263812002909445, 0.9377654002377177, 0.9454875971714075, 0.9514104085938007, 0.9561236991985718, 0.959863477172438, 0.9625732224148299, 0.9652258999463365]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.09144953068925388, 0.08007358520140462, 0.06301366028677853, 0.059571014825737255, 0.050007063979723425, 0.04624699363567961, 0.04380568330871315, 0.041964202200083636, 0.0405728897466653, 0.039160538794162585]","[0.8942515540196522, 0.9068734165104878, 0.9266701525637677, 0.9295686915813038, 0.9417288201242542, 0.9460090191765466, 0.9487382776631812, 0.9512413805420877, 0.9530103251981441, 0.9543840255514247]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
multi-task,"[1.572455120301646, 1.5611276427887704, 1.5577529691841123, 1.5557174475626048, 1.5543050718287021, 1.553275906993576, 1.5525059710658635, 1.5518766901737735, 1.5513930269043146, 1.5509395669078867]","[0.8459148693916549, 0.9061261444554507, 0.9254656377986247, 0.937161409737164, 0.9455432725085778, 0.9516237869494051, 0.9561893940176663, 0.960006851479955, 0.9628889378840035, 0.9656573505322786]","[0.3419493344783169, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631]","[1.5654105567376526, 1.5599816736903724, 1.558161080169547, 1.5567012708263908, 1.5559968052456197, 1.5556374925550653, 1.5551636674536509, 1.55466437184541, 1.554591469359447, 1.5543801130049029]","[0.8838984218666699, 0.9141694796951443, 0.9250757960300073, 0.9336147710650322, 0.9379938909601397, 0.9398715900406599, 0.9430191698978828, 0.9462737531756766, 0.946784026129267, 0.9482062664176603]","[0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891]"
multi-task large,"[1.6011948801202802, 1.561874754964256, 1.5585688920428489, 1.556451468428812, 1.555056803602167, 1.5539763803694984, 1.553167773726264, 1.5524463124621217, 1.5519576822549501, 1.5514805760799226]","[0.8436373297886874, 0.9017352867095754, 0.9204346127062716, 0.9327974047462231, 0.9409846033595467, 0.9472267192517703, 0.9519716894130126, 0.956280544447561, 0.9591810707807439, 0.9620639584411517]","[0.3067410905968227, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631, 0.3428080721339631]","[1.5651648098512247, 1.5612918748440523, 1.5580166627316543, 1.557180214859673, 1.5559341496110697, 1.555182240939124, 1.5545263521225179, 1.5545455541734912, 1.5539179720479874, 1.55352361480858]","[0.8854564169525201, 0.9063443552965657, 0.9258181295977462, 0.9308941040936196, 0.9383516188575602, 0.9424499306595432, 0.9465551366231636, 0.9466762459894988, 0.9500236384892317, 0.9525924537425339]","[0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891, 0.342357779300891]"
