,1,2,3
67,26.27652621269226,42.423216581344604,62.01303839683533
104,15.296639680862427,12.922035694122314,20.348851680755615
104,4.490556001663208,52.926005601882935,177.57620120048523
105,1.0721218585968018,20.367851972579956,21.58339810371399
108,7.355719804763794,25.12563920021057,118.5221905708313
111,7.640959978103638,70.04206275939941,60.90678691864014
111,6.404976844787598,34.581764698028564,138.87248611450195
114,0.922692060470581,3.008708953857422,27.44550108909607
117,12.040667295455933,3.0225753784179688,31.134251356124878
124,26.542792558670044,61.71132850646973,19.1422016620636
151,20.034855365753174,134.73215746879578,94.57529401779175
161,58.769999265670776,205.6849479675293,193.6389741897583
189,44.042827129364014,20.927793979644775,23.332388639450073
223,60.802465200424194,386.1922035217285,2425.7246866226196
259,90.1926634311676,160.218346118927,347.7699203491211
270,51.53313684463501,29.958815097808838,1075.1127293109894
275,92.71602463722229,147.10155200958252,842.2856984138489
278,131.3669011592865,1246.8692121505737,19362.45744729042
