family,length,No post-processing_precision,No post-processing_recall,No post-processing_f1,Only mask_precision,Only mask_recall,Only mask_f1,Argmax_precision,Argmax_recall,Argmax_f1,Blossom w/ self-loops_precision,Blossom w/ self-loops_recall,Blossom w/ self-loops_f1,Blossom_precision,Blossom_recall,Blossom_f1,Mfold_precision,Mfold_recall,Mfold_f1
tRNA,59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8999999761581421,1.0,0.9473683834075928,1.0,1.0,1.0,0.8181818127632141,1.0,0.9000000357627869
tRNA,70,1.0,1.0,1.0,1.0,0.9756097793579102,0.9876543283462524,1.0,1.0,1.0,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524,0.8913043737411499,1.0,0.9425287246704102
tRNA,70,1.0,1.0,1.0,1.0,0.9743589758872986,0.9870129823684692,1.0,1.0,1.0,1.0,0.9743589758872986,0.9870129823684692,1.0,0.9743589758872986,0.9870129823684692,0.8409090638160706,0.9487179517745972,0.8915662169456482
tRNA,70,1.0,1.0,1.0,1.0,0.9743589758872986,0.9870129823684692,1.0,1.0,1.0,1.0,0.9743589758872986,0.9870129823684692,1.0,0.9743589758872986,0.9870129823684692,0.8809523582458496,0.9487179517745972,0.9135802388191224
tRNA,70,0.5945945978164673,0.7096773982048035,0.6470588445663452,0.6111111044883728,0.7096773982048035,0.6567164063453674,0.6153846383094788,0.774193525314331,0.6857143044471741,0.5555555820465088,0.6451612710952759,0.5970149040222168,0.6111111044883728,0.7096773982048035,0.6567164063453674,0.52173912525177,0.774193525314331,0.6233766078948975
tRNA,71,1.0,1.0,1.0,1.0,0.9767441749572754,0.9882352948188782,1.0,1.0,1.0,1.0,0.9767441749572754,0.9882352948188782,1.0,0.9767441749572754,0.9882352948188782,0.931818187236786,0.9534883499145508,0.9425287246704102
tRNA,71,1.0,1.0,1.0,1.0,0.9743589758872986,0.9870129823684692,1.0,1.0,1.0,1.0,0.9743589758872986,0.9870129823684692,1.0,0.9743589758872986,0.9870129823684692,0.925000011920929,0.9487179517745972,0.9367088675498962
tRNA,71,1.0,1.0,1.0,1.0,0.9756097793579102,0.9876543283462524,1.0,1.0,1.0,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524,0.931818187236786,1.0,0.9647058844566344
tRNA,71,1.0,1.0,1.0,1.0,0.9756097793579102,0.9876543283462524,1.0,1.0,1.0,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524,0.8913043737411499,1.0,0.9425287246704102
tRNA,71,1.0,1.0,1.0,1.0,0.9767441749572754,0.9882352948188782,1.0,1.0,1.0,1.0,0.9767441749572754,0.9882352948188782,1.0,0.9767441749572754,0.9882352948188782,0.93478262424469,1.0,0.966292142868042
