,precision,recall,f1
No post-processing,0.9803700211657912,0.9689664438572976,0.9740029974048796
Only mask,0.9831700029908534,0.9518203543634356,0.9662404188595045
Argmax,0.979172443526665,0.9683791630233406,0.9732241789526633
Blossum w/ self-loops,0.09300673527759723,0.07237493606191951,0.07544216648108407
Blossum,0.9841413515270374,0.9513189979656083,0.966380936317246
Mfold,0.8264630335543048,0.9572550580120183,0.8859181684447947
