length,family,Ufold_precision,Ufold_recall,Ufold_f1,Ufold_precision_shift,Ufold_recall_shift,Ufold_f1_shift,hotknots_precision,hotknots_recall,hotknots_f1,hotknots_precision_shift,hotknots_recall_shift,hotknots_f1_shift,CNNfold_precision,CNNfold_recall,CNNfold_f1,CNNfold_precision_shift,CNNfold_recall_shift,CNNfold_f1_shift,viennaRNA_precision,viennaRNA_recall,viennaRNA_f1,viennaRNA_precision_shift,viennaRNA_recall_shift,viennaRNA_f1_shift,nussinov_precision,nussinov_recall,nussinov_f1,nussinov_precision_shift,nussinov_recall_shift,nussinov_f1_shift,contrafold_precision,contrafold_recall,contrafold_f1,contrafold_precision_shift,contrafold_recall_shift,contrafold_f1_shift,RNA_Unet_precision,RNA_Unet_recall,RNA_Unet_f1,RNA_Unet_precision_shift,RNA_Unet_recall_shift,RNA_Unet_f1_shift
64,tRNA,0.9166666865348816,1.0,0.95652174949646,0.9166666865348816,1.0,0.95652174949646,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666865348816,0.6060606241226196,0.6349206566810608,0.6666666865348816,0.6060606241226196,0.6349206566810608,0.159090906381607,0.2121212184429168,0.1818181723356247,0.159090906381607,0.2121212184429168,0.1818181723356247,0.0,0.0,0.0,0.0652173906564712,0.0909090936183929,0.0759493708610534,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909361839294,0.6060606241226196,0.7272728085517883,0.9090909361839294,0.6060606241226196,0.7272728085517883
70,tRNA,0.9722222089767456,1.0,0.98591548204422,0.9722222089767456,1.0,0.98591548204422,0.9666666388511658,0.8285714387893677,0.892307698726654,0.9666666388511658,0.8285714387893677,0.892307698726654,0.875,0.6000000238418579,0.7118644714355469,0.875,0.6000000238418579,0.7118644714355469,0.8055555820465088,0.8285714387893677,0.8169013857841492,0.8055555820465088,0.8285714387893677,0.8169013857841492,0.1875,0.2571428716182709,0.2168674618005752,0.2291666716337204,0.3142857253551483,0.2650602757930755,0.78125,0.7142857313156128,0.7462686896324158,0.78125,0.7142857313156128,0.7462686896324158,1.0,0.9714285731315612,0.9855071902275084,1.0,0.9714285731315612,0.9855071902275084
70,tRNA,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666865348816,0.7368420958518982,0.699999988079071,0.6666666865348816,0.7368420958518982,0.699999988079071,1.0,0.8947368264198303,0.944444477558136,1.0,0.8947368264198303,0.944444477558136,0.449999988079071,0.4736842215061188,0.4615384340286255,0.550000011920929,0.5789473652839661,0.5641025900840759,0.1851851791143417,0.2631579041481018,0.2173912972211837,0.1851851791143417,0.2631579041481018,0.2173912972211837,0.8235294222831726,0.7368420958518982,0.7777777910232544,0.9411764740943908,0.8421052694320679,0.8888888955116272,0.8947368264198303,0.8947368264198303,0.8947368264198303,1.0,1.0,1.0
70,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.760869562625885,0.8536585569381714,0.8045977354049683,0.760869562625885,0.8536585569381714,0.8045977354049683,0.3518518507480621,0.4634146392345428,0.4000000059604645,0.4629629552364349,0.6097561120986938,0.5263157486915588,0.699999988079071,0.8536585569381714,0.769230842590332,0.699999988079071,0.8536585569381714,0.769230842590332,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524
70,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.9722222089767456,0.8536585569381714,0.9090909361839294,0.9722222089767456,0.8536585569381714,0.9090909361839294,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.75,0.8048780560493469,0.7764706611633301,0.75,0.8048780560493469,0.7764706611633301,0.4423076808452606,0.5609756112098694,0.4946236610412597,0.4807692170143127,0.6097561120986938,0.5376343727111816,0.75,0.8048780560493469,0.7764706611633301,0.75,0.8048780560493469,0.7764706611633301,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524
71,tRNA,0.9772727489471436,1.0,0.9885057806968688,0.9772727489471436,1.0,0.9885057806968688,0.8333333134651184,0.8139534592628479,0.8235294222831726,0.8333333134651184,0.8139534592628479,0.8235294222831726,0.9772727489471436,1.0,0.9885057806968688,0.9772727489471436,1.0,0.9885057806968688,0.5,0.5813953280448914,0.5376343727111816,0.5,0.5813953280448914,0.5376343727111816,0.1666666716337204,0.2093023210763931,0.185567021369934,0.1666666716337204,0.2093023210763931,0.185567021369934,0.7954545617103577,0.8139534592628479,0.8045976758003235,0.7954545617103577,0.8139534592628479,0.8045976758003235,1.0,0.9767441749572754,0.9882352948188782,1.0,0.9767441749572754,0.9882352948188782
71,tRNA,0.975000023841858,1.0,0.9873417615890504,0.975000023841858,1.0,0.9873417615890504,0.5,0.5897436141967773,0.5411764979362488,0.5,0.5897436141967773,0.5411764979362488,0.975000023841858,1.0,0.9873417615890504,0.975000023841858,1.0,0.9873417615890504,0.5,0.5897436141967773,0.5411764979362488,0.5,0.5897436141967773,0.5411764979362488,0.4107142984867096,0.5897436141967773,0.4842105805873871,0.4107142984867096,0.5897436141967773,0.4842105805873871,0.4600000083446502,0.5897436141967773,0.516853928565979,0.4600000083446502,0.5897436141967773,0.516853928565979,1.0,0.9743589758872986,0.9870129823684692,1.0,0.9743589758872986,0.9870129823684692
71,tRNA,0.975000023841858,1.0,0.9873417615890504,0.975000023841858,1.0,0.9873417615890504,0.7045454382896423,0.7948718070983887,0.7469879388809204,0.8409090638160706,0.9487179517745972,0.8915662169456482,0.925000011920929,0.9487179517745972,0.9367088675498962,0.975000023841858,1.0,0.9873417615890504,0.4791666567325592,0.5897436141967773,0.5287356376647949,0.6041666865348816,0.7435897588729858,0.6666666865348816,0.2037037014961242,0.2820512950420379,0.2365591377019882,0.2407407462596893,0.3333333432674408,0.2795698940753937,0.4199999868869781,0.5384615659713745,0.4719101190567016,0.4199999868869781,0.5384615659713745,0.4719101190567016,0.800000011920929,0.8205128312110901,0.8101266026496887,0.949999988079071,0.9743589758872986,0.9620252847671508
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.738095223903656,0.7560975551605225,0.7469878792762756,0.738095223903656,0.7560975551605225,0.7469878792762756,0.2678571343421936,0.3658536672592163,0.3092783689498901,0.375,0.5121951103210449,0.4329896867275238,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524
71,tRNA,0.975000023841858,1.0,0.9873417615890504,0.975000023841858,1.0,0.9873417615890504,0.4199999868869781,0.5384615659713745,0.4719101190567016,0.5799999833106995,0.7435897588729858,0.651685357093811,0.9285714030265808,1.0,0.9629629254341124,0.9285714030265808,1.0,0.9629629254341124,0.3799999952316284,0.4871794879436493,0.4269662499427795,0.5400000214576721,0.692307710647583,0.6067416071891785,0.0925925895571708,0.1282051354646682,0.107526883482933,0.1666666716337204,0.2307692319154739,0.1935483962297439,0.4199999868869781,0.5384615659713745,0.4719101190567016,0.5799999833106995,0.7435897588729858,0.651685357093811,1.0,0.9743589758872986,0.9870129823684692,1.0,0.9743589758872986,0.9870129823684692
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.2407407462596893,0.3170731663703918,0.2736842036247253,0.2407407462596893,0.3170731663703918,0.2736842036247253,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524
71,tRNA,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2307692319154739,0.375,0.2857142984867096,0.3461538553237915,0.5625,0.4285714328289032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.975000023841858,0.9512194991111756,0.9629629850387572,0.975000023841858,0.9512194991111756,0.9629629850387572,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.0535714291036129,0.0731707289814949,0.0618556700646877,0.1964285671710968,0.2682926952838897,0.2268041223287582,0.4791666567325592,0.5609756112098694,0.5168538689613342,0.4791666567325592,0.5609756112098694,0.5168538689613342,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.931818187236786,1.0,0.9647058844566344,0.25,0.3170731663703918,0.2795698940753937,0.25,0.3170731663703918,0.2795698940753937,0.2407407462596893,0.3170731663703918,0.2736842036247253,0.2407407462596893,0.3170731663703918,0.2736842036247253,0.5952380895614624,0.6097561120986938,0.6024096608161926,0.5952380895614624,0.6097561120986938,0.6024096608161926,1.0,0.9756097793579102,0.9876543283462524,1.0,0.9756097793579102,0.9876543283462524
