lengths CPU CPU,times w/o post-processing CPU CPU,times for only prediction CPU CPU,times w/o conversion CPU CPU,times total CPU CPU
30,0.0272245407104492,0.0259639263153076,0.0323369979858398,0.0335983753204345
54,0.0335381984710693,0.028190803527832,0.0506624698638916,0.0560110569000244
58,0.0340405941009521,0.0270027160644531,0.0507186412811279,0.0577576160430908
64,0.0745779991149902,0.0650579929351806,0.0967912197113037,0.1063128948211669
70,0.0455694675445556,0.0359692096710205,0.0743854522705078,0.0839874267578125
70,0.0451941490173339,0.0357694625854492,0.0755385398864746,0.0849646091461181
70,0.0465259552001953,0.0370957374572753,0.0744875907897949,0.0839190006256103
70,0.0435426712036132,0.0358666896820068,0.0731866836547851,0.0808637619018554
71,0.0454212665557861,0.0364260196685791,0.0745486736297607,0.0835453033447265
71,0.0453850269317627,0.0358338356018066,0.0751255512237548,0.0846778869628906
71,0.0455212593078613,0.0359407901763916,0.0754163265228271,0.0849977970123291
71,0.0454704761505126,0.0359629154205322,0.074718952178955,0.0842275142669677
71,0.0455416202545166,0.0360065937042236,0.0743779182434082,0.0839139938354492
71,0.0463050842285156,0.035906171798706,0.0755121707916259,0.0859122276306152
71,0.0451888561248779,0.0359336376190185,0.0747084617614746,0.0839647769927978
71,0.0449649333953857,0.0358776092529296,0.0749481678009033,0.0840365886688232
71,0.0452322959899902,0.0359208106994628,0.074783182144165,0.0840958595275878
71,0.045632266998291,0.0359796047210693,0.0746248722076416,0.0842786312103271
71,0.0458617687225341,0.03587646484375,0.0752299308776855,0.0852161884307861
71,0.045403242111206,0.0360573768615722,0.0747936725616455,0.0841405391693115
71,0.0452943801879882,0.0358853340148925,0.0743102073669433,0.0837204933166504
71,0.0450196266174316,0.0359064102172851,0.0741189002990722,0.0832332134246826
71,0.045329999923706,0.0359725952148437,0.0742190361022949,0.0835775852203369
71,0.0458189964294433,0.0358129024505615,0.0748989582061767,0.0849063396453857
71,0.0461964607238769,0.0360151290893554,0.0755980491638183,0.085780668258667
71,0.0451292037963867,0.0360118865966796,0.0743102073669433,0.083428955078125
71,0.0455237388610839,0.0359647750854492,0.0766206264495849,0.0861808776855468
71,0.0457222938537597,0.0359155654907226,0.075349473953247,0.0851574897766113
71,0.0452641010284423,0.0361809253692626,0.0736401557922363,0.0827245235443115
71,0.0451529026031494,0.0359639644622802,0.0737393856048584,0.0829294204711914
71,0.0450781822204589,0.035855484008789,0.0738273620605468,0.083051586151123
71,0.0449595928192138,0.0359798908233642,0.0744750022888183,0.0834560394287109
71,0.0452285289764404,0.0359202861785888,0.0745345592498779,0.0838441371917724
71,0.0462531089782714,0.035968542098999,0.0753885269165039,0.0856743335723877
71,0.0457668304443359,0.0359232425689697,0.0753931522369384,0.0852377891540527
71,0.0454648971557617,0.0359370708465576,0.0745722770690918,0.0841012477874755
71,0.0478168964385986,0.0375191211700439,0.0771284103393554,0.0874277114868164
71,0.0455887794494628,0.0359381198883056,0.075124454498291,0.0847763538360595
71,0.0448176383972167,0.0360300064086914,0.0739235401153564,0.0827123641967773
71,0.0457640647888183,0.0361700534820556,0.0754913806915283,0.0850864887237548
71,0.0448997974395751,0.0360842227935791,0.0772224426269531,0.0860392093658447
71,0.0456354141235351,0.0360772132873535,0.0745119571685791,0.0840712547302246
71,0.0458010196685791,0.0361077308654785,0.0752436161041259,0.0849381446838379
71,0.0452685356140136,0.0359343528747558,0.0739923477172851,0.0833277702331543
71,0.0459382534027099,0.0358917236328125,0.0755396366119384,0.0855872154235839
71,0.0460410118103027,0.0358676433563232,0.0758264541625976,0.086000919342041
71,0.0451473236083984,0.0358691215515136,0.0741565227508544,0.0834359169006347
71,0.0458231449127197,0.0358372688293457,0.0747529029846191,0.0847399234771728
71,0.0452451705932617,0.0358676433563232,0.0749273777008056,0.0843060970306396
72,0.0457166194915771,0.035874319076538,0.0753285884857177,0.0851719856262207
72,0.0452478885650634,0.0358900070190429,0.0751739025115966,0.084532880783081
72,0.045582103729248,0.0358034133911132,0.0758204936981201,0.0856004238128662
72,0.0454017162322998,0.0358460426330566,0.075312328338623,0.0848690509796142
72,0.0456841468811035,0.0357081890106201,0.0746315956115722,0.0846085548400878
72,0.0454360008239746,0.0358757972717285,0.0760791301727294,0.0856406688690185
72,0.0460084438323974,0.0359569072723388,0.0767296314239502,0.0867823123931884
72,0.0463061332702636,0.0359760761260986,0.0761759757995605,0.0865070343017578
72,0.0454124927520751,0.0359532833099365,0.0751511096954345,0.0846113204956054
72,0.045741319656372,0.0358847618103027,0.0757347106933593,0.0855923175811767
72,0.04619722366333,0.0357986450195312,0.0757883548736572,0.0861879825592041
72,0.0483801364898681,0.0375355720520019,0.0796033859252929,0.0904491424560546
72,0.0462737083435058,0.0361382961273193,0.0763791561126709,0.0865156650543212
72,0.0461256980895996,0.0359776020050048,0.0763735294342041,0.0865228176116943
72,0.046509313583374,0.0363326072692871,0.0762965202331543,0.0864745616912841
72,0.0457718849182128,0.0361323833465576,0.0762034893035888,0.0858442783355712
72,0.0453432083129882,0.0359804630279541,0.0750685214996337,0.0844325065612792
72,0.0457220077514648,0.0359768867492675,0.0757588386535644,0.0855050086975097
72,0.0456234455108642,0.0357971668243408,0.0755882740020752,0.0854156017303466
72,0.0459365367889404,0.0359184741973876,0.0757514953613281,0.0857706546783447
72,0.0459167003631591,0.0358979701995849,0.0755303382873535,0.0855502605438232
72,0.0457095146179199,0.035991096496582,0.0762752056121826,0.0859949588775634
72,0.0460728645324707,0.0358862400054931,0.075358772277832,0.0855464458465576
72,0.0462876319885253,0.0358986377716064,0.0757681846618652,0.086158275604248
72,0.0458459377288818,0.0359626770019531,0.0762280464172363,0.0861124515533447
72,0.0463701725006103,0.0359959125518798,0.0760215759277343,0.0863970279693603
72,0.0459543228149414,0.0360800266265869,0.0760733127593994,0.0859487533569336
72,0.0458508014678955,0.0360504627227783,0.0757166385650634,0.0855182647705078
72,0.0453804492950439,0.0359877586364746,0.0753426074981689,0.0847365379333496
72,0.0459135055541992,0.0359576225280761,0.0772043704986572,0.0871614456176757
72,0.0457154273986816,0.0359270572662353,0.0756773471832275,0.0854669094085693
72,0.0460048675537109,0.0359222412109375,0.0757745742797851,0.0858582973480224
72,0.0457845211029052,0.0359222412109375,0.075840425491333,0.0857036113739013
72,0.0456528663635253,0.0359181880950927,0.0756248474121093,0.0853607654571533
72,0.0465012073516845,0.0360852718353271,0.0760856628417968,0.0865027427673339
72,0.0459263801574707,0.035938549041748,0.0756136894226074,0.0856025695800781
72,0.0471085548400878,0.0373894214630127,0.0773213386535644,0.0870418548583984
72,0.0463290214538574,0.0359075546264648,0.0762214660644531,0.0866440773010253
72,0.045964241027832,0.0359309673309326,0.0759474754333496,0.0859818458557128
