lengths,times
30,0.0016976992289225261
54,0.002022981643676758
58,0.0018212000528971355
64,0.0023125012715657554
70,0.004179477691650391
70,0.0037114620208740234
70,0.0023620923360188804
70,0.002560297648111979
71,0.002548694610595703
71,0.00254058837890625
71,0.002445062001546224
71,0.0024175643920898438
71,0.002397457758585612
71,0.002541700998942057
71,0.0025554498036702475
71,0.002501964569091797
71,0.002398888270060221
71,0.0023523171742757163
71,0.00241700808207194
71,0.002424001693725586
71,0.002489964167277018
71,0.0025898615519205728
71,0.0025200843811035156
71,0.00238649050394694
71,0.16284664471944174
71,0.0025151570638020835
71,0.002392450968424479
71,0.002429962158203125
71,0.002395153045654297
71,0.0024121602376302085
71,0.0024042129516601562
71,0.002346674601236979
71,0.0025719801584879556
71,0.0023597081502278647
71,0.002564112345377604
71,0.0024650096893310547
71,0.00227967898050944
71,0.002583662668863932
71,0.002420504887898763
71,0.002407073974609375
71,0.0025415420532226562
71,0.002370039621988932
71,0.0025533835093180337
71,0.002452691396077474
71,0.002471288045247396
71,0.002559820810953776
71,0.002430518468221029
71,0.0025033950805664062
71,0.002420663833618164
72,0.002429405848185221
72,0.0026427110036214194
72,0.0025377273559570312
72,0.0025884310404459634
72,0.002754767735799154
72,0.0025316079457600913
72,0.002623875935872396
72,0.0026642481486002603
72,0.0027329126993815103
72,0.002499818801879883
72,0.0026498635609944663
72,0.002599000930786133
72,0.0026763280232747397
72,0.0025856494903564453
72,0.002603610356648763
72,0.0024864673614501953
72,0.0025116602579752603
72,0.002528587977091471
72,0.0023758411407470703
72,0.0025065739949544272
72,0.0025637944539388022
72,0.0024709701538085938
72,0.00251921017964681
72,0.0024712085723876953
72,0.0024499098459879556
72,0.0025466283162434897
72,0.002578099568684896
72,0.002465486526489258
72,0.002505143483479818
72,0.002430597941080729
72,0.002596616744995117
72,0.002567847569783529
72,0.004758596420288086
72,0.0025659402211507163
72,0.002510547637939453
72,0.0025451183319091797
72,0.002347548802693685
72,0.002453883488972982
72,0.0024393399556477866
72,0.0025249322255452475
72,0.0024736722310384116
72,0.002591292063395182
72,0.002570629119873047
72,0.002393643061319987
72,0.002593835194905599
72,0.0026093324025472007
72,0.0026079813639322915
72,0.002622365951538086
72,0.002426624298095703
72,0.002581914265950521
72,0.0024950504302978516
72,0.002460638682047526
72,0.007308801015218099
72,0.0025942325592041016
72,0.0025794506072998047
72,0.0026524861653645835
72,0.002684434254964193
72,0.0026133855183919272
72,0.002480030059814453
72,0.0025295416514078775
72,0.002579291661580404
72,0.0025627613067626953
72,0.0024028619130452475
72,0.002549250920613607
72,0.002553224563598633
72,0.09770449002583821
72,0.002517143885294596
72,0.002630313237508138
72,0.002659320831298828
72,0.0025698343912760415
72,0.002519528071085612
72,0.0024735132853190103
72,0.0025719801584879556
72,0.0025804837544759116
72,0.0025680859883626304
72,0.0025877157847086587
72,0.0025854110717773438
72,0.0026006698608398438
72,0.002402782440185547
72,0.002410729726155599
72,0.0025980472564697266
72,0.0024046103159586587
72,0.0023184617360432944
72,0.002441962560017904
72,0.002459923426310221
72,0.0025522708892822266
72,0.002437591552734375
72,0.002555688222249349
72,0.00254670778910319
72,0.0024099349975585938
72,0.002424955368041992
72,0.0025272369384765625
72,0.002441565195719401
72,0.002392848332722982
72,0.002396265665690104
72,0.002529144287109375
72,0.002402226130167643
72,0.002403815587361654
72,0.002389669418334961
72,0.0023711522420247397
72,0.0025284290313720703
72,0.0025751590728759766
72,0.0026439030965169272
72,0.0026320616404215493
72,0.002639929453531901
72,0.002557675043741862
72,0.002562920252482096
72,0.0025893847147623696
72,0.0025730133056640625
72,0.0026184717814127603
72,0.0025594234466552734
72,0.002523342768351237
72,0.0023681322733561196
72,0.002536296844482422
72,0.0025413036346435547
72,0.0026836395263671875
72,0.002574443817138672
72,0.0026493072509765625
72,0.002623399098714193
72,0.0024813016255696616
73,0.002649545669555664
73,0.0025965372721354165
73,0.002583026885986328
73,0.0025593439737955728
73,0.002619504928588867
73,0.0025266806284586587
73,0.0026401678721110025
73,0.0034268697102864585
73,0.0026955604553222656
73,0.0025467872619628906
73,0.0027466615041097007
73,0.002637783686319987
73,0.0026063919067382812
73,0.0025824705759684243
73,0.0025910536448160806
73,0.002639611562093099
73,0.002617359161376953
73,0.002507368723551432
73,0.0025580724080403647
73,0.002495447794596354
73,0.0026284058888753257
73,0.002500613530476888
