,train_loss,train_F1,valid_loss,valid_F1
0,0.08783329248597248,0.9013011126648447,0.05683573291629473,0.9349847742489406
1,0.04448681764144532,0.9491979712926074,0.03954783144665536,0.9550038345178182
2,0.036455631909597074,0.9583818004833712,0.03708882804186839,0.9574032132516331
3,0.031870812856286006,0.9636839711906995,0.03248671108500334,0.9630874910283924
4,0.028516803730661375,0.9676313387600833,0.030186693880435912,0.9658090765344486
5,0.02598132903737642,0.9705626038055979,0.029867927613605388,0.9662863936466027
6,0.02401521604392418,0.9728808282299796,0.027169197813841212,0.9693123853190568
7,0.022446383251391196,0.9747124947985789,0.026452506086575695,0.9701725751723883
8,0.021193207914850246,0.9762054421677464,0.025565149938321177,0.9712272371323604
9,0.020132797586689857,0.977452372909859,0.02526880353287545,0.9716536837366392
10,0.01922883515262581,0.9785318392991931,0.024379087908248696,0.9726802295912308
11,0.018467003469609042,0.9794619744237335,0.023686080608727796,0.973474639806786
12,0.017797764943034745,0.9802320884941633,0.0237111035543632,0.9735437487736546
13,0.017188215380001617,0.980971047503502,0.023531780779522383,0.9737455173001457
14,0.01663623206855049,0.9816605035644534,0.023078358912403694,0.9743679743009115
15,0.01615891633992317,0.9822114582328071,0.02288875907579201,0.9745912039055015
16,0.0157051455599373,0.9827519436709469,0.022649562648043155,0.9749054674511007
17,0.015321531855729863,0.9832090194604217,0.02249312587182798,0.9750645629720225
18,0.014960928172455205,0.9836392432277319,0.02215155988048029,0.9754344255776418
19,0.014629683650441165,0.9840399634529253,0.022414255816981477,0.9751949834052444
20,0.014318549534097252,0.9844084107569788,0.022386293992841984,0.9752165046904607
21,0.014008605986500793,0.9847756000487334,0.02174736004312726,0.9761157739194577
22,0.013722443564139297,0.9851174215680815,0.02182109804166295,0.976051057557854
23,0.013487386004956865,0.9854004194830744,0.02231806462023136,0.9753893026123149
24,0.013245076808724186,0.985699196704803,0.021467206902259766,0.9763783884578638
25,0.013026204234019218,0.9859518791169599,0.021807460755993414,0.9761034917959949
26,0.01263360501952336,0.9863768366541501,0.021226472273027156,0.9768061930439221
27,0.01215211028806297,0.9868940705692938,0.020789690062684833,0.9773192649581683
28,0.011845574982835548,0.9872544258104035,0.020325086910448306,0.9776595228846182
29,0.011540321371508115,0.9875683027447764,0.020401309330187075,0.9777004147314962
30,0.011371593416547483,0.9877759599293171,0.020689898134884487,0.9774867304332173
31,0.011224087735272507,0.9879459734790316,0.02059530352325131,0.9775703817445313
32,0.01106932921854063,0.9881329949707315,0.02039905145483197,0.9777566821025709
33,0.010919693807791035,0.9883088469997944,0.020363858912511655,0.9778460438119755
