,train_loss,train_F1,valid_loss,valid_F1
0,0.0946,0.8935,0.0604796516927426,0.9319
1,0.0532,0.9397,0.0494294606932411,0.9439
2,0.0438,0.9503,0.0430784527182257,0.9511
3,0.0377,0.9572,0.0367121086930328,0.9583
4,0.0325,0.9631,0.0355097566171476,0.9596
5,0.0299,0.9661,0.0334458820421419,0.9619
6,0.0278,0.9685,0.0308983009459194,0.9651
7,0.026,0.9707,0.0294798114229084,0.9667
8,0.0245,0.9724,0.0285175280911581,0.9678
9,0.0233,0.9739,0.0283619276436191,0.9681
10,0.0223,0.9751,0.0273925848887615,0.9693
11,0.0213736540347954,0.9761811726706893,0.026877520396060377,0.9699555153715
12,0.02064787638162073,0.9770650136570528,0.026067759438023735,0.9708380715303987
13,0.01996969516969896,0.9778652634421763,0.025919457410545042,0.9711675656773652
14,0.019384555358521245,0.9785588516414244,0.0261261889716043,0.970919936469623
15,0.018842736996608003,0.9792097281682581,0.02532870943012906,0.9718871717424085
16,0.018367595430995774,0.9798037724746197,0.025039258832237468,0.9722179914581165
17,0.017988848924693143,0.9802479061690137,0.024794263145672985,0.972492929232731
18,0.017529379813587386,0.9807952431040656,0.024907552906766415,0.9724803973160021
19,0.01716038206788816,0.9812467616898841,0.024665588172619556,0.9727896730935156
20,0.016794872423481554,0.981680676887478,0.024735710932559402,0.9727222905808061
21,0.01652509166302961,0.9820034059229374,0.02411786266414303,0.9734792614481198
22,0.01619599974075398,0.9823977490322465,0.024030056828758466,0.9736472625857736
23,0.015900992677186265,0.982746150784336,0.023548819626759327,0.9741228766679121
24,0.015634429586306477,0.9830657906049386,0.023657519251831138,0.9740778624931115
25,0.015368306811343352,0.9833787235809363,0.023668284621842787,0.974089729858216
26,0.01514370293324966,0.983660588719136,0.023758891248960058,0.9739527690523075
27,0.014910172918276142,0.9839298154698674,0.02339407003150796,0.9744053625514244
28,0.014644530442981703,0.984232028535522,0.023569163029405947,0.9741573034994043
29,0.014466558654745134,0.9844355433641431,0.023400841376209517,0.9743663756834529
30,0.014243889962099094,0.9847259531940272,0.02349416780664593,0.974393498752959
31,0.014099719756182736,0.9848876215425277,0.022896068677747988,0.9750811020078042
32,0.013943068523041509,0.9850898722089729,0.022839622757826854,0.9751450506262381
33,0.013795236784674373,0.9852503026466365,0.022997690516340763,0.9749786532712432
34,0.013181150950863668,0.9858968135700757,0.022383718734802903,0.9756447242999655
35,0.012905505429563126,0.9861991290070045,0.022187218752832746,0.9758482102917211
36,0.012782154151054423,0.9863346756847788,0.02225216047140466,0.9757875871385204
37,0.012638804073521625,0.9865173544111762,0.022216939251377896,0.9759119824016833
38,0.01252364684417213,0.9866605170908853,0.022270081338856742,0.9759109404851806
39,0.012385395194694098,0.9868232007833868,0.021848060644540503,0.9763348091162761
40,0.012291532356568612,0.9869267866867489,0.02194823368861669,0.9762657172757018
41,0.012187449864456778,0.9870669501617934,0.022101525669149313,0.9760643231579557
42,0.012072897870679843,0.987189978098727,0.022018994539574472,0.9762324070512767
43,0.01199841841156013,0.9872700854755383,0.021917081586112875,0.9763115309239077
44,0.011880293941423807,0.9874177006773068,0.021979760689876792,0.9762464521869495
