,Training_loss,Training_f1,Validation_loss,Validation_f1
"wd: 0.0001, filters:32","[0.2030632044277052, 0.1741530534841309, 0.16956956120917294, 0.16809748620524229, 0.16681625485266674, 0.16513842685174512, 0.16437438005232002, 0.1647918716527301, 0.16376353928130705, 0.16243438131054772]","[0.7665021005622841, 0.7988141020232897, 0.804479054555764, 0.8062812170446456, 0.8073961250960647, 0.8092611045131565, 0.8102118327375541, 0.8100386489059548, 0.810928632616485, 0.8125257464604809]","[0.17418571910358113, 0.16503070138593992, 0.17979184060655612, 0.16084102366050684, 0.16992847328320032, 0.15664491641594988, 0.1637240367608989, 0.15601521270825816, 0.18182446784643053, 0.21538260869166065]","[0.797627922063253, 0.8105412727761874, 0.7936635758674169, 0.814219750499709, 0.8017203443523463, 0.8167280064840853, 0.8110314037413365, 0.8210495691171977, 0.7907361769365725, 0.7508621106538321]"
"wd: 0.0001, filters:64","[0.2340966688967304, 0.17191914707460645, 0.1689203626610988, 0.1676167179761193, 0.1666445646228684, 0.1662098124847232, 0.16663999114747005, 0.1658022225952394, 0.16597570180381097, 0.16584310961056287]","[0.7413717292640286, 0.8014720587425347, 0.8053082832096472, 0.8071152364736772, 0.8080839944287603, 0.8087731123866314, 0.808435315140689, 0.8093571411470529, 0.8092861458140926, 0.8094085013280359]","[0.18219547765233732, 0.1702054057773292, 0.16097612036589976, 0.16204023726841127, 0.16543614090183487, 0.1613638563013959, 0.19398079249775516, 0.16645448921967076, 0.16711940217541046, 0.1609933903112732]","[0.7896145893499572, 0.8032319446166465, 0.8146456726063924, 0.81440089247748, 0.8103851187588663, 0.8150159526537182, 0.7782567818843804, 0.8084116743250691, 0.8092464188687029, 0.813647818716525]"
"wd: 1e-05, filters:32","[0.19229161442989645, 0.1297711114967366, 0.12439229802647185, 0.12174660926112908, 0.11997638468375887, 0.11907251378710866, 0.11804928013878146, 0.11714636122223235, 0.11692829965879703, 0.116442911800984]","[0.7855864487096152, 0.8499639166954917, 0.8559587404944448, 0.8592114244985601, 0.8612195543410595, 0.8621578699583248, 0.863347014667088, 0.8645003350828276, 0.8645571594396442, 0.8651522650540566]","[0.1400227920906114, 0.12935053981518893, 0.12247618558964066, 0.12190632439378682, 0.12553329452249268, 0.12184601278644952, 0.11840605110726674, 0.11745828224666482, 0.12479343244357825, 0.13844132952448274]","[0.8374442563145188, 0.8496830746265942, 0.8563044627718602, 0.859866378975699, 0.8538643030923388, 0.8589739361656619, 0.8634358018412012, 0.8644758247508015, 0.8559829082449795, 0.8382173595851705]"
"wd: 1e-05, filters:64","[0.2427634007227477, 0.13445823836500628, 0.12759644423702235, 0.1248562645789327, 0.12284701929014606, 0.12097591288154246, 0.11996975889938899, 0.1193310770214551, 0.11893933480161616, 0.11820138670334544]","[0.7384206961820398, 0.8439334398254708, 0.8518224084425914, 0.855162596916272, 0.857335584669883, 0.859546280429311, 0.8607602760841939, 0.8615538389808685, 0.8619684304838889, 0.8627034701902808]","[0.14881116541956613, 0.13005254322163776, 0.12642347095681022, 0.13123969740864347, 0.1334283955502461, 0.12397339339530819, 0.12409324849035905, 0.11248376646868737, 0.12274444493387887, 0.12042677821240415]","[0.8287677974877413, 0.8507852734176977, 0.8550848656725278, 0.8480497613967977, 0.8463706684141146, 0.8554287985263417, 0.856367538110535, 0.8698953119980464, 0.8579739330156443, 0.861021392246564]"
"wd: None, filters:32","[0.1351647595163577, 0.08076114077177003, 0.06343388863518905, 0.05379345467695611, 0.04720796020617553, 0.042353135800351396, 0.03848634679310309, 0.035360541365186564, 0.03290581548608081, 0.030785010146603353]","[0.8461755301095562, 0.9060924981453226, 0.9259049261880566, 0.9371070111319967, 0.9448627475762684, 0.9505582632297812, 0.9551167841221755, 0.9588395215708486, 0.9617746633257974, 0.9642616113248738]","[0.09226692125272719, 0.07276533330606222, 0.06584327867621016, 0.0546641492778263, 0.04911567535279465, 0.04997593072524538, 0.04539380707178645, 0.042571127026599105, 0.04063916766047069, 0.03962056991415044]","[0.89355757104321, 0.9137432187427962, 0.9231540062927562, 0.9365103342420357, 0.9426924817626651, 0.9418494568817251, 0.9470657504140064, 0.9504161217876131, 0.9530361440591897, 0.9540297322337802]"
"wd: None, filters:64","[0.15994238994212662, 0.07860187379113079, 0.06070865271377072, 0.05077449638170969, 0.044309220016130614, 0.03929848836286225, 0.03536912118892088, 0.03234007869886707, 0.02993738069304994, 0.027784565617056455]","[0.8214784087670808, 0.9082540448052835, 0.9289338427149927, 0.9405807403650034, 0.948178449381877, 0.9540716781770789, 0.9587777734672936, 0.962393299598661, 0.9653046414185716, 0.9678764842568983]","[0.09152640505471075, 0.0695638626793462, 0.05890749269270423, 0.05229577924634922, 0.047364027186400925, 0.0448769856553277, 0.04146063799642389, 0.041045410368359195, 0.037790119647979736, 0.03800552002855815]","[0.8933651061540928, 0.9186589098123755, 0.9312898751049519, 0.9377766718106207, 0.9444395572437335, 0.9478252774807915, 0.9517724705914915, 0.9520887549177599, 0.9562109927349992, 0.9559624091229919]"
