,Mfold w/ matrix as constrains,Mfold w/ matrix as parameters,NetworkX blossom w/ self-loops,Blossom w/ self-loops,Blossom,Argmax
60,0.3606994152069092,0.07715315818786621,0.34754276275634766,0.24724421501159669,0.13059487342834472,0.0002459049224853516
61,0.3215601444244385,0.0887070655822754,0.29597487449646,0.2553910732269287,0.15351457595825196,0.00026254653930664064
63,0.37389364242553713,0.08989515304565429,0.3316713809967041,0.29911508560180666,0.1680281639099121,0.00025930404663085935
65,0.4606137752532959,0.1055537223815918,0.3447582244873047,0.31585183143615725,0.19430189132690429,0.0002593517303466797
67,0.5584363460540771,0.11533555984497071,1.2884463787078857,0.35277624130249025,0.19622802734375,0.0002793788909912109
70,0.6470971584320069,0.1451927661895752,0.4524357318878174,0.3867323398590088,0.21529774665832518,0.0002804279327392578
73,0.7359932422637939,0.1608349323272705,0.5031416893005372,0.43626971244812013,0.2488375186920166,0.00029144287109375
76,0.7121767520904541,0.16881580352783204,0.5396413326263427,0.48060245513916017,0.24915990829467774,0.00031409263610839846
80,1.1248165607452392,0.2268465518951416,0.6596498012542724,0.5990640640258789,0.29677639007568357,0.0003275871276855469
85,1.507294273376465,0.26413569450378416,0.7580734729766846,0.6836785316467285,0.37917361259460447,0.00033664703369140625
89,1.691278839111328,0.3216241359710693,0.8604562759399415,0.7564261436462403,0.42607793807983396,0.00038743019104003906
95,2.0685325145721434,0.41048197746276854,1.064464521408081,0.9256617546081543,0.3549562931060791,0.0003927707672119141
100,2.503729724884033,0.49390721321105957,1.2162717819213866,1.0337136268615723,0.33367252349853516,0.0034011363983154296
106,3.3791940212249756,0.5860280513763427,1.540801191329956,1.3137012004852295,0.27353129386901853,0.00044498443603515627
113,4.072195529937744,0.7524937629699707,1.7711192131042481,1.5642752170562744,0.347721004486084,0.007468700408935547
120,5.41646032333374,0.8945842742919922,2.1436318874359133,1.8527824401855468,0.406767749786377,0.0004772186279296875
127,6.239830684661865,1.0875956058502196,2.5949456691741943,2.2460087299346925,0.4216268539428711,0.0005324840545654297
134,8.698085975646972,1.4362760543823243,3.061384153366089,2.6536370277404786,0.4035083770751953,0.0005512714385986328
143,12.288597202301025,1.8518874168395996,3.700791263580322,3.1873030185699465,0.49274730682373047,0.0005715370178222656
151,14.310672807693482,2.0892192840576174,4.419747924804687,3.788727569580078,0.581092643737793,0.0006371974945068359
160,19.978352737426757,2.7049031257629395,5.258764982223511,4.455084180831909,0.67110276222229,0.0046962261199951175
169,23.415047883987427,3.303471231460571,6.334335422515869,5.368941593170166,0.8211051940917968,0.004688787460327149
179,28.097775316238405,4.16832389831543,7.5051491260528564,6.249398183822632,0.9710660457611084,0.0007806777954101563
189,37.351233673095706,5.1206752300262455,8.955378293991089,7.45585036277771,1.1035918235778808,0.0011783123016357421
200,48.183343935012815,6.337626791000366,10.611771965026856,8.88918194770813,1.2746417045593261,0.0048220157623291016
211,53.80212826728821,7.723867130279541,12.545870447158814,10.111239433288574,1.5302968502044678,0.008950424194335938
222,67.64793710708618,9.021853828430176,15.024713373184204,12.307407903671265,1.723499345779419,0.0009645938873291016
234,86.54073991775513,11.925110387802125,17.132513904571532,14.167889213562011,2.0517799854278564,0.0009835720062255859
246,110.45597796440124,14.667362213134766,20.584531354904176,16.50772681236267,2.428212785720825,0.011545801162719726
259,139.74106841087342,16.14838843345642,24.132906246185303,19.313578128814697,2.8647648811340334,0.00561370849609375
272,167.00903196334838,21.436108589172363,27.608808040618896,22.10283989906311,3.255500316619873,0.001168060302734375
286,210.3605052947998,25.045829343795777,32.178652381896974,25.947340536117554,3.704177141189575,0.009499883651733399
300,226.46656460762023,28.774678945541382,36.78898296356201,29.733745574951172,4.309673547744751,0.005532455444335937
314,295.24517955780027,36.701772356033324,43.93566656112671,35.16353278160095,5.040512657165527,0.005877113342285157
329,364.62644658088686,42.350790882110594,50.76508622169494,40.403315258026126,5.797229623794555,0.009338808059692384
344,410.78862285614014,50.68072257041931,57.287795305252075,46.14045090675354,6.549748277664184,0.005127239227294922
359,456.6818796157837,61.129056215286255,65.45070424079896,52.38775424957275,7.70796012878418,0.0019754409790039063
375,542.4181796073914,69.2199782371521,74.34479436874389,59.469615411758426,8.672390604019165,0.006104755401611328
392,773.4570612430573,83.6557587146759,85.84756388664246,67.67309246063232,9.720493650436401,0.009316110610961914
408,869.6245455741882,100.29333968162537,97.76301865577697,75.91292963027954,11.027695655822754,0.002677774429321289
426,1012.2686501979828,120.62282886505128,115.99038472175599,87.50077362060547,12.519502449035645,0.006584072113037109
443,1195.0104214191438,136.50390014648437,134.2715133190155,99.27232146263123,14.234392738342285,0.002572441101074219
461,1638.5899134635924,167.78978505134583,172.25663480758666,109.21781868934632,16.386744022369385,0.0063536643981933595
480,1529.1880552768707,196.644939994812,174.95717406272888,125.61382479667664,18.149097633361816,0.0035283565521240234
499,1885.5081911087036,231.40489068031312,177.32650389671326,138.70820407867433,20.385110330581664,0.003632974624633789
518,2316.4371370315553,273.49948439598086,199.81512126922607,157.7594537258148,22.753301858901978,0.0038866043090820313
538,3051.587381696701,308.11014914512634,225.37246031761168,176.5020902633667,25.515324783325195,0.004144001007080078
558,3168.5270228862764,344.18255519866943,249.87920851707457,196.70613079071046,28.418693208694457,0.004440736770629883
579,3558.497941350937,401.95953345298767,282.98135485649107,219.81583366394042,32.06085386276245,0.004314613342285156
600,3720.463415193558,479.4808980464935,313.60980401039126,249.02499566078185,35.63174452781677,0.004608774185180664
