,Training_loss,Training_f1,Validation_loss,Validation_f1
Baseline,"[0.00514533403512278, 0.002564454490622385, 0.0019673430667084325, 0.0016107542888153998, 0.0013592004543599501, 0.001180588118901968, 0.001030030587299762, 0.0009106476480766297, 0.0008229948889242366, 0.0007543902673063802]","[0.7919331456122687, 0.876207225203207, 0.9039315095591207, 0.9209162545490798, 0.9327610365691335, 0.9410580822586143, 0.9474910472533692, 0.9527039535596372, 0.9567312855483022, 0.9599835619387989]","[0.002965753875727913, 0.00246802706395206, 0.0021047294347612093, 0.0018169644642198584, 0.0017227793955879038, 0.0016431349039694734, 0.0016736902007760165, 0.0016169688556156021, 0.001593545432975533, 0.0016662611887293753]","[0.8662592405280976, 0.8973885800962664, 0.9077818521781683, 0.9173278082940903, 0.9280816046463618, 0.93336553972743, 0.9375273782333501, 0.9372088140498456, 0.9408613013293826, 0.9443643053175245]"
Improved,"[0.13460743000907618, 0.08200761141209911, 0.06485240485546363, 0.054624946371277495, 0.04771251145633519, 0.04298706208753606, 0.038958095199000224, 0.03590697602889936, 0.03334396877939889, 0.03098404752998303]","[0.8457853975187957, 0.9045306842513431, 0.9242792001119648, 0.9360786361159967, 0.9442377356282116, 0.9497574981572342, 0.954574981161636, 0.9581403817803934, 0.9611783698834591, 0.9640015441391693]","[0.09688011322469234, 0.07518180257004364, 0.06308194145182373, 0.05559251723508462, 0.050918262347201114, 0.04912092646480505, 0.046412075623982245, 0.04226741511336412, 0.04083772754326023, 0.039949138210275716]","[0.8861853368708007, 0.9128979475041462, 0.9261480488643979, 0.9353252625816729, 0.9404696969748197, 0.9417846283330911, 0.9456784573930678, 0.9509049422165725, 0.9527369744876544, 0.9535934712745459]"
