lengths,times w/o post-processing,times for only prediction,times w/o conversion,times total
30,0.06176877021789551,0.06152677536010742,0.0665292739868164,0.0667726993560791
54,0.030843496322631836,0.0305635929107666,0.04563331604003906,0.04591488838195801
58,0.030348539352416992,0.030045747756958008,0.04668450355529785,0.046988725662231445
64,0.3858349323272705,0.3266003131866455,0.3707733154296875,0.430011510848999
70,0.03556489944458008,0.035260677337646484,0.060305118560791016,0.06061053276062012
70,0.03595471382141113,0.03561830520629883,0.06190633773803711,0.062244415283203125
70,0.03603696823120117,0.03574228286743164,0.061266183853149414,0.061562299728393555
70,0.03667902946472168,0.03633403778076172,0.06283760070800781,0.06318473815917969
71,0.03713655471801758,0.03679251670837402,0.06339597702026367,0.06374144554138184
71,0.03693342208862305,0.03659415245056152,0.06366467475891113,0.06400537490844727
71,0.0400698184967041,0.03971529006958008,0.0661470890045166,0.06650280952453613
71,0.03739309310913086,0.037049055099487305,0.06388521194458008,0.06423091888427734
71,0.03754138946533203,0.037195682525634766,0.06419563293457031,0.06454253196716309
71,0.04889535903930664,0.04854583740234375,0.07555580139160156,0.07590866088867188
71,0.03876781463623047,0.03836965560913086,0.06577801704406738,0.0661773681640625
71,0.03814554214477539,0.03779745101928711,0.06415987014770508,0.06450939178466797
71,0.036692142486572266,0.036355018615722656,0.06338191032409668,0.063720703125
71,0.037140607833862305,0.03676104545593262,0.06307387351989746,0.06345462799072266
71,0.03625082969665527,0.035910844802856445,0.062020063400268555,0.06236124038696289
71,0.03652238845825195,0.036177635192871094,0.06305289268493652,0.06339859962463379
71,0.036197662353515625,0.03585982322692871,0.06179547309875488,0.06213498115539551
71,0.03596353530883789,0.035613298416137695,0.06174755096435547,0.06209921836853027
71,0.03646564483642578,0.036119937896728516,0.06332254409790039,0.06366968154907227
71,0.03709292411804199,0.03674960136413574,0.0639650821685791,0.06431031227111816
71,0.036467552185058594,0.03613710403442383,0.06811642646789551,0.06844854354858398
71,0.0410916805267334,0.0406949520111084,0.06769704818725586,0.06809568405151367
71,0.0362849235534668,0.03593730926513672,0.06358718872070312,0.06393575668334961
71,0.03726053237915039,0.036923885345458984,0.06393718719482422,0.06427502632141113
71,0.03607177734375,0.035761117935180664,0.061914920806884766,0.06222677230834961
71,0.03635525703430176,0.036008358001708984,0.0617823600769043,0.06213068962097168
71,0.036043643951416016,0.03570961952209473,0.061969757080078125,0.06230521202087402
71,0.038016557693481445,0.03768205642700195,0.06415653228759766,0.06449198722839355
71,0.036507606506347656,0.036170005798339844,0.06246614456176758,0.06280517578125
71,0.03661990165710449,0.036269426345825195,0.06291556358337402,0.06326770782470703
71,0.03621339797973633,0.03587532043457031,0.06259489059448242,0.06293439865112305
71,0.03589057922363281,0.035552978515625,0.06240487098693848,0.062744140625
71,0.03601408004760742,0.035683631896972656,0.06274771690368652,0.063079833984375
71,0.036559104919433594,0.03623080253601074,0.06259489059448242,0.06292414665222168
71,0.036013126373291016,0.03568601608276367,0.061835527420043945,0.0621640682220459
71,0.03589057922363281,0.035570383071899414,0.0622098445892334,0.0625312328338623
71,0.036226511001586914,0.03587508201599121,0.06305932998657227,0.06341171264648438
71,0.03624773025512695,0.035903215408325195,0.06173992156982422,0.06208634376525879
71,0.036309242248535156,0.035958290100097656,0.06161642074584961,0.06196880340576172
71,0.0363156795501709,0.03597688674926758,0.06177234649658203,0.06211256980895996
71,0.03624558448791504,0.03590846061706543,0.0619504451751709,0.06228899955749512
71,0.03598451614379883,0.03568720817565918,0.06258893013000488,0.06288766860961914
71,0.036307334899902344,0.03597378730773926,0.06243491172790527,0.06276965141296387
71,0.03656268119812012,0.03623175621032715,0.062143802642822266,0.062476396560668945
71,0.036214590072631836,0.035866737365722656,0.06223750114440918,0.06258702278137207
72,0.03689932823181152,0.036562204360961914,0.06368541717529297,0.06402420997619629
72,0.03641533851623535,0.03606843948364258,0.06281781196594238,0.06316661834716797
72,0.03660321235656738,0.036264657974243164,0.06356596946716309,0.06390571594238281
72,0.03600716590881348,0.03566741943359375,0.06305146217346191,0.06339240074157715
72,0.036371469497680664,0.03603625297546387,0.06340932846069336,0.06374573707580566
72,0.037229299545288086,0.03689861297607422,0.06408548355102539,0.06441760063171387
72,0.03597116470336914,0.03566098213195801,0.06355953216552734,0.06387090682983398
72,0.03625035285949707,0.03592109680175781,0.06329822540283203,0.0636289119720459
72,0.03652167320251465,0.036170244216918945,0.06358075141906738,0.06393313407897949
72,0.036843299865722656,0.036478281021118164,0.06387186050415039,0.06423830986022949
72,0.04090571403503418,0.0405573844909668,0.06788969039916992,0.06824135780334473
72,0.0436556339263916,0.0432741641998291,0.07077288627624512,0.07115578651428223
72,0.03929567337036133,0.0389401912689209,0.06767630577087402,0.06803297996520996
72,0.03810715675354004,0.03772544860839844,0.06454205513000488,0.0649251937866211
72,0.03886604309082031,0.03851795196533203,0.06666064262390137,0.06701040267944336
72,0.03922748565673828,0.03884768486022949,0.06673979759216309,0.06712102890014648
72,0.037100791931152344,0.03676104545593262,0.06467509269714355,0.06501603126525879
72,0.03723025321960449,0.03688311576843262,0.0646066665649414,0.06495499610900879
72,0.0389561653137207,0.03856158256530762,0.06653499603271484,0.06693220138549805
72,0.038968801498413086,0.03860807418823242,0.06563782691955566,0.06599998474121094
72,0.039927005767822266,0.03957939147949219,0.06744241714477539,0.06779217720031738
72,0.04150533676147461,0.04108262062072754,0.0679926872253418,0.06841683387756348
72,0.03739213943481445,0.03705620765686035,0.06438541412353516,0.06472253799438477
72,0.037320852279663086,0.03695940971374512,0.06381797790527344,0.06418085098266602
72,0.037049055099487305,0.036710500717163086,0.06383037567138672,0.06417012214660645
72,0.03814864158630371,0.03780412673950195,0.06526803970336914,0.06561422348022461
72,0.03856015205383301,0.03820514678955078,0.06599736213684082,0.06635379791259766
72,0.03939628601074219,0.0390477180480957,0.0668022632598877,0.06715250015258789
72,0.036975860595703125,0.036626577377319336,0.06423187255859375,0.06458234786987305
72,0.03719472885131836,0.03685283660888672,0.06489276885986328,0.06523585319519043
72,0.03655123710632324,0.036211490631103516,0.06353211402893066,0.0638728141784668
72,0.03649020195007324,0.03615427017211914,0.06304192543029785,0.06337881088256836
72,0.03716754913330078,0.03684067726135254,0.06468629837036133,0.06501507759094238
72,0.03678083419799805,0.03642606735229492,0.06393957138061523,0.06429576873779297
72,0.03684401512145996,0.03650808334350586,0.06375002861022949,0.0640876293182373
72,0.03697490692138672,0.03662276268005371,0.06404685974121094,0.06440043449401855
72,0.0370330810546875,0.03668975830078125,0.0640401840209961,0.06438541412353516
72,0.03690910339355469,0.03654026985168457,0.06349897384643555,0.06386899948120117
72,0.03685355186462402,0.03650808334350586,0.06388163566589355,0.06422877311706543
72,0.03679966926574707,0.036453962326049805,0.06328082084655762,0.06362771987915039
72,0.036707401275634766,0.03634500503540039,0.06329035758972168,0.06365442276000977
72,0.036887407302856445,0.036538124084472656,0.06341433525085449,0.06376504898071289
72,0.03699922561645508,0.03665900230407715,0.06461811065673828,0.06495952606201172
72,0.036992549896240234,0.0366513729095459,0.06362557411193848,0.06396794319152832
72,0.037245988845825195,0.036911964416503906,0.06439447402954102,0.06472945213317871
72,0.03735923767089844,0.03701972961425781,0.06470489501953125,0.06504631042480469
72,0.03679370880126953,0.036449432373046875,0.0641622543334961,0.06450819969177246
72,0.03628396987915039,0.035933732986450195,0.06359100341796875,0.06394290924072266
72,0.03686404228210449,0.03652024269104004,0.06357145309448242,0.06391620635986328
72,0.036971330642700195,0.03663372993469238,0.06301617622375488,0.0633554458618164
72,0.03702116012573242,0.03670620918273926,0.06453585624694824,0.06485247611999512
72,0.03695559501647949,0.0365908145904541,0.06384658813476562,0.06421303749084473
72,0.037340402603149414,0.03699684143066406,0.06440186500549316,0.06474709510803223
72,0.037240028381347656,0.03690218925476074,0.0640571117401123,0.06439661979675293
72,0.03600478172302246,0.03567624092102051,0.062383413314819336,0.0627131462097168
72,0.036504507064819336,0.03615522384643555,0.06502413749694824,0.06537485122680664
72,0.04317927360534668,0.04274249076843262,0.06933236122131348,0.06977057456970215
72,0.036688804626464844,0.03635120391845703,0.06340146064758301,0.06374025344848633
72,0.03864789009094238,0.038312435150146484,0.0658562183380127,0.0661933422088623
72,0.03623151779174805,0.035888671875,0.06343221664428711,0.06377649307250977
72,0.03630375862121582,0.0359652042388916,0.0633702278137207,0.06370973587036133
72,0.036696672439575195,0.03635525703430176,0.06377744674682617,0.06412029266357422
72,0.03733205795288086,0.03698301315307617,0.06504535675048828,0.06539583206176758
72,0.03703188896179199,0.036673545837402344,0.06481003761291504,0.0651702880859375
72,0.03694295883178711,0.03658699989318848,0.06340336799621582,0.06376099586486816
72,0.03659462928771973,0.036238670349121094,0.06327271461486816,0.0636301040649414
72,0.03654026985168457,0.036186933517456055,0.06342577934265137,0.0637807846069336
72,0.036832332611083984,0.036493539810180664,0.06339621543884277,0.0637362003326416
72,0.03709220886230469,0.03674936294555664,0.06343460083007812,0.06377887725830078
72,0.03675103187561035,0.036459922790527344,0.06439495086669922,0.06468820571899414
72,0.03686165809631348,0.036508798599243164,0.06390833854675293,0.06426239013671875
72,0.03680896759033203,0.03646564483642578,0.0644834041595459,0.06482815742492676
72,0.037008047103881836,0.03666853904724121,0.06375384330749512,0.06409502029418945
72,0.03759765625,0.03723931312561035,0.0645596981048584,0.06492042541503906
72,0.036492109298706055,0.03614926338195801,0.06313967704772949,0.06348371505737305
72,0.0375368595123291,0.03719282150268555,0.06471490859985352,0.06506085395812988
72,0.03708505630493164,0.03674745559692383,0.06425809860229492,0.06459736824035645
72,0.037160396575927734,0.03682112693786621,0.06507372856140137,0.0654149055480957
72,0.03611588478088379,0.035776615142822266,0.06295251846313477,0.0632929801940918
72,0.03718066215515137,0.036826372146606445,0.06422686576843262,0.06458306312561035
72,0.04004073143005371,0.039650917053222656,0.06778907775878906,0.06818151473999023
72,0.037828922271728516,0.037467241287231445,0.06437993049621582,0.0647435188293457
72,0.03740644454956055,0.037062644958496094,0.06474971771240234,0.06509518623352051
72,0.03779721260070801,0.037441253662109375,0.0648660659790039,0.06522345542907715
72,0.03666996955871582,0.03632187843322754,0.06418037414550781,0.06453061103820801
72,0.03626370429992676,0.035913944244384766,0.06247758865356445,0.06282854080200195
72,0.03644227981567383,0.036098480224609375,0.06351351737976074,0.06385922431945801
72,0.03644251823425293,0.036093711853027344,0.06249737739562988,0.06284761428833008
72,0.03711700439453125,0.036759376525878906,0.06367182731628418,0.06403064727783203
72,0.03910255432128906,0.038732290267944336,0.06729459762573242,0.06766676902770996
72,0.041875362396240234,0.041513919830322266,0.06858348846435547,0.06894659996032715
72,0.03743100166320801,0.03708219528198242,0.06404447555541992,0.06439495086669922
72,0.03706169128417969,0.03671073913574219,0.06357073783874512,0.06392335891723633
72,0.03729844093322754,0.03693556785583496,0.06373929977416992,0.06410336494445801
72,0.03635716438293457,0.03600931167602539,0.0634760856628418,0.06382536888122559
72,0.03655195236206055,0.036215782165527344,0.06324100494384766,0.06357836723327637
72,0.0375823974609375,0.03724074363708496,0.06448721885681152,0.06482982635498047
72,0.037482261657714844,0.03713250160217285,0.06383752822875977,0.06418919563293457
72,0.03835248947143555,0.03799915313720703,0.06522321701049805,0.06557869911193848
72,0.03691911697387695,0.03658270835876465,0.0645742416381836,0.06491255760192871
72,0.036926984786987305,0.03657817840576172,0.06340432167053223,0.06375455856323242
72,0.036955833435058594,0.03660225868225098,0.06381869316101074,0.06417393684387207
72,0.03651738166809082,0.03615880012512207,0.06298327445983887,0.06334376335144043
