,model,parameters,parameter increase,percentage of baseline,size (MB)
0,baseline,7761537,0,100.0,29.634204864501953
1,channels64,31034625,23273088,399.8515371375541,118.44011306762695
2,input16,7763841,2304,100.02968484206156,29.642993927001953
3,input17,7764129,2592,100.03339544731926,29.644092559814453
4,multitask,7772489,10952,100.14110607216071,29.675983428955078
