Length,Non-standard basepairs,F1 score
465.0,11.0,0.9292929768562316
466.0,6.0,0.9075630307197572
469.0,9.0,0.9407407641410828
469.0,8.0,0.9269311428070068
471.0,8.0,0.9306122660636902
472.0,8.0,0.921843647956848
476.0,9.0,0.9313725233078004
478.0,8.0,0.9302325248718262
480.0,9.0,0.9270386099815368
484.0,9.0,0.9442378878593444
487.0,9.0,0.9384615421295166
489.0,8.0,0.9430894255638124
494.0,11.0,0.9323307871818542
496.0,9.0,0.9275362491607666
497.0,9.0,0.9291338324546814
498.0,12.0,0.9242424368858336
500.0,8.0,0.9307692050933838
500.0,8.0,0.9273084998130798
502.0,10.0,0.9365079402923584
504.0,7.0,0.9593495726585388
508.0,8.0,0.929729700088501
510.0,6.0,0.9411764740943908
512.0,5.0,0.9519650936126708
515.0,8.0,0.9338234663009644
517.0,8.0,0.8646464943885803
518.0,10.0,0.935714304447174
521.0,14.0,0.906474769115448
522.0,5.0,0.9403508901596068
524.0,12.0,0.9291338324546814
528.0,7.0,0.9527272582054138
528.0,7.0,0.9527272582054138
529.0,8.0,0.9264705777168274
530.0,7.0,0.9527272582054138
532.0,7.0,0.9140625596046448
534.0,5.0,0.9619238376617432
535.0,10.0,0.937062919139862
535.0,9.0,0.937062919139862
536.0,11.0,0.9419795274734496
537.0,8.0,0.9485293626785278
538.0,8.0,0.9411765336990356
540.0,7.0,0.9287019968032836
543.0,7.0,0.9562044143676758
546.0,10.0,0.9383561611175536
547.0,6.0,0.936170220375061
549.0,5.0,0.9455910325050354
550.0,7.0,0.939068078994751
550.0,7.0,0.9415807723999025
551.0,5.0,0.92599618434906
553.0,14.0,0.900900900363922
554.0,6.0,0.9655172228813172
556.0,9.0,0.9321739077568054
559.0,8.0,0.9407407641410828
560.0,10.0,0.932604730129242
560.0,5.0,0.9393414258956908
561.0,9.0,0.9281961917877196
563.0,5.0,0.9675089716911316
563.0,5.0,0.9675089716911316
563.0,7.0,0.937704861164093
563.0,5.0,0.9675089716911316
564.0,8.0,0.9352518320083618
564.0,5.0,0.967272698879242
564.0,8.0,0.9527273178100586
564.0,5.0,0.9637681245803832
564.0,5.0,0.967272698879242
565.0,7.0,0.9492753744125366
565.0,6.0,0.9530685544013976
567.0,7.0,0.9381817579269408
568.0,13.0,0.8717948198318481
571.0,15.0,0.9199318289756776
573.0,7.0,0.9010988473892212
576.0,7.0,0.9110320806503296
583.0,10.0,0.95563143491745
586.0,6.0,0.9552238583564758
587.0,9.0,0.9468267560005188
588.0,10.0,0.9335604906082152
590.0,10.0,0.937062919139862
593.0,10.0,0.938435971736908
597.0,5.0,0.9453375935554504
600.0,7.0,0.9395509362220764
602.0,12.0,0.9067641496658324
608.0,11.0,0.9263803362846376
610.0,7.0,0.9407665729522704
612.0,5.0,0.938906729221344
614.0,10.0,0.9245901703834534
615.0,21.0,0.7355623245239258
619.0,13.0,0.94428151845932
621.0,8.0,0.9470198750495912
622.0,5.0,0.9448819160461426
623.0,9.0,0.9555189609527588
625.0,8.0,0.9358752369880676
629.0,9.0,0.9629629254341124
635.0,9.0,0.933115780353546
640.0,8.0,0.9391891956329346
642.0,15.0,0.9202454090118408
643.0,16.0,0.9174311757087708
646.0,10.0,0.9080119132995604
649.0,9.0,0.9512893557548524
654.0,6.0,0.949999988079071
658.0,11.0,0.943231463432312
660.0,15.0,0.9260809421539308
660.0,13.0,0.9470752477645874
663.0,14.0,0.91782945394516
666.0,7.0,0.9322034120559692
669.0,15.0,0.8751752972602844
673.0,8.0,0.9602273106575012
676.0,9.0,0.9512894153594972
679.0,21.0,0.7654320001602173
682.0,11.0,0.9230769872665404
686.0,19.0,0.9189189076423644
689.0,14.0,0.930481255054474
693.0,9.0,0.9282137155532836
696.0,10.0,0.9347496628761292
699.0,10.0,0.9465153813362122
700.0,9.0,0.9495934844017028
702.0,16.0,0.8876244425773621
707.0,10.0,0.9380530714988708
711.0,13.0,0.936170220375061
714.0,12.0,0.9304813146591188
719.0,10.0,0.9337349534034728
721.0,13.0,0.9347825646400452
724.0,9.0,0.9304677844047546
726.0,11.0,0.8690475821495056
729.0,13.0,0.913946568965912
730.0,11.0,0.9390681385993958
732.0,17.0,0.8905852437019348
734.0,6.0,0.800000011920929
738.0,12.0,0.8985506892204285
740.0,16.0,0.926261305809021
741.0,6.0,0.950276255607605
744.0,16.0,0.9155446887016296
748.0,16.0,0.921875
750.0,11.0,0.949748694896698
752.0,15.0,0.9105263352394104
754.0,9.0,0.9402984976768494
756.0,9.0,0.930747926235199
758.0,19.0,0.9303423762321472
760.0,20.0,0.8680641055107117
763.0,17.0,0.9238210320472716
764.0,17.0,0.9306488037109376
766.0,14.0,0.9003689289093018
769.0,15.0,0.9326424598693848
771.0,16.0,0.9266055226325988
771.0,16.0,0.9266055226325988
772.0,10.0,0.9389221668243408
773.0,12.0,0.9394673705101012
776.0,15.0,0.9197079539299012
777.0,9.0,0.943396270275116
779.0,14.0,0.915717601776123
780.0,14.0,0.936170220375061
781.0,17.0,0.9271206855773926
783.0,15.0,0.9259694814682008
783.0,14.0,0.9200000166893004
784.0,14.0,0.9385749697685242
785.0,12.0,0.937198042869568
786.0,14.0,0.9287469387054444
788.0,16.0,0.8862559199333191
789.0,15.0,0.915254294872284
791.0,16.0,0.934939742088318
792.0,13.0,0.9187278747558594
793.0,16.0,0.9341317415237428
794.0,15.0,0.9086650609970092
795.0,14.0,0.937644362449646
796.0,15.0,0.9363745450973512
797.0,20.0,0.7679999470710754
798.0,13.0,0.940000057220459
799.0,14.0,0.937644362449646
800.0,11.0,0.9347258806228638
800.0,10.0,0.9481865167617798
800.0,11.0,0.9350649118423462
800.0,12.0,0.9427083730697632
800.0,12.0,0.9050715565681458
800.0,12.0,0.9427083730697632
800.0,10.0,0.9479166865348816
800.0,12.0,0.9427083730697632
800.0,9.0,0.9506493806838988
800.0,11.0,0.9436434507369996
800.0,10.0,0.9481865167617798
800.0,16.0,0.9322235584259032
800.0,11.0,0.9375
800.0,13.0,0.9057591557502748
801.0,13.0,0.9057591557502748
802.0,16.0,0.9300118684768676
803.0,10.0,0.9320387840270996
803.0,9.0,0.9420289993286132
804.0,15.0,0.9266589283943176
805.0,13.0,0.923450767993927
806.0,14.0,0.9379310011863708
807.0,14.0,0.932084321975708
808.0,10.0,0.9477351903915404
809.0,10.0,0.9298245906829834
811.0,23.0,0.8691476583480835
813.0,15.0,0.92093026638031
813.0,14.0,0.9351851940155028
814.0,14.0,0.937644362449646
815.0,15.0,0.9474912285804749
816.0,19.0,0.9266055226325988
816.0,15.0,0.9167616963386536
817.0,14.0,0.9387754797935486
818.0,17.0,0.9307605028152466
819.0,14.0,0.937644362449646
820.0,14.0,0.937644362449646
820.0,12.0,0.947012424468994
822.0,15.0,0.9107980728149414
823.0,10.0,0.9478458166122437
824.0,15.0,0.9387754797935486
825.0,13.0,0.9330357313156128
825.0,14.0,0.9305555820465088
825.0,18.0,0.9258028864860536
826.0,18.0,0.9315673112869264
827.0,15.0,0.91244238615036
828.0,14.0,0.9365628361701964
829.0,14.0,0.9387754797935486
831.0,10.0,0.9449541568756104
832.0,24.0,0.8699763417243958
833.0,22.0,0.9181033968925476
834.0,16.0,0.9334836602211
834.0,17.0,0.9203925728797911
835.0,12.0,0.9150623083114624
837.0,17.0,0.9289740920066832
838.0,14.0,0.9305555820465088
839.0,12.0,0.944071650505066
840.0,13.0,0.935123085975647
841.0,15.0,0.9390919208526612
842.0,16.0,0.9370166063308716
843.0,19.0,0.9022222757339478
844.0,16.0,0.935982346534729
845.0,11.0,0.9437706470489502
846.0,17.0,0.9337676763534546
847.0,18.0,0.9334787726402284
848.0,17.0,0.93246191740036
849.0,20.0,0.9211356043815612
850.0,17.0,0.8707483410835266
851.0,19.0,0.9234088063240052
854.0,15.0,0.9383783340454102
856.0,14.0,0.931447207927704
857.0,16.0,0.9304347634315492
862.0,18.0,0.9274193048477172
866.0,14.0,0.9289740324020386
869.0,14.0,0.9420289993286132
872.0,19.0,0.9274193048477172
873.0,17.0,0.9337289929389954
877.0,17.0,0.92558616399765
877.0,15.0,0.9329329133033752
880.0,20.0,0.9067797064781188
881.0,16.0,0.932270884513855
884.0,17.0,0.9321534633636476
886.0,24.0,0.9341563582420348
886.0,20.0,0.926108419895172
887.0,17.0,0.9326829314231871
887.0,10.0,0.925490140914917
889.0,15.0,0.9392033815383912
894.0,20.0,0.9254902601242064
897.0,13.0,0.9350649118423462
901.0,16.0,0.9368635416030884
902.0,16.0,0.9392712712287904
911.0,21.0,0.9160000085830688
915.0,8.0,0.9450101852416992
918.0,13.0,0.9392033815383912
921.0,10.0,0.9498910307884216
925.0,10.0,0.9498910307884216
926.0,18.0,0.9236569404602052
930.0,10.0,0.949671745300293
934.0,13.0,0.9259259700775146
938.0,15.0,0.9383783340454102
942.0,11.0,0.9491525292396544
943.0,11.0,0.946921408176422
949.0,13.0,0.935742974281311
953.0,11.0,0.9483667016029358
956.0,20.0,0.9333333373069764
959.0,11.0,0.9461457133293152
960.0,12.0,0.9418838024139404
963.0,12.0,0.944000005722046
964.0,17.0,0.9138277173042296
969.0,12.0,0.9494949579238892
974.0,16.0,0.9312376976013184
978.0,16.0,0.9402228593826294
983.0,14.0,0.9326633810997008
988.0,13.0,0.9357798099517822
1005.0,15.0,0.9443902969360352
1009.0,16.0,0.9413854479789734
1012.0,22.0,0.9250456690788268
1024.0,18.0,0.89952152967453
1031.0,20.0,0.9317269325256348
1054.0,18.0,0.9140833020210266
1067.0,22.0,0.8584643602371216
1073.0,15.0,0.9605608582496644
1079.0,15.0,0.9053658843040466
1090.0,15.0,0.9409751892089844
1099.0,15.0,0.9409780502319336
1109.0,19.0,0.91929829120636
1119.0,12.0,0.9468438625335692
1137.0,19.0,0.9417322874069214
1150.0,20.0,0.9371519684791564
1160.0,17.0,0.925895094871521
1175.0,15.0,0.9174603819847108
1180.0,17.0,0.9308975338935852
1184.0,24.0,0.931380033493042
1186.0,19.0,0.925190806388855
1192.0,24.0,0.9154228568077089
1198.0,15.0,0.949367105960846
1202.0,14.0,0.9512195587158204
1209.0,19.0,0.9275362491607666
1213.0,23.0,0.9198718070983888
1216.0,16.0,0.9331259727478028
1225.0,15.0,0.9482625722885132
1232.0,19.0,0.9323077201843262
1237.0,19.0,0.9353383183479308
1239.0,18.0,0.9465875625610352
1240.0,18.0,0.937313437461853
1244.0,17.0,0.9481707811355592
1246.0,18.0,0.9462686777114868
1247.0,22.0,0.936495840549469
1248.0,19.0,0.9449541568756104
1251.0,22.0,0.932330846786499
1255.0,19.0,0.9449541568756104
1258.0,16.0,0.9497717022895812
1262.0,21.0,0.9284627437591552
1266.0,25.0,0.890216588973999
1270.0,22.0,0.9125364422798156
1279.0,22.0,0.9321452975273132
1284.0,21.0,0.939306378364563
1287.0,22.0,0.9323307871818542
1293.0,16.0,0.9489489793777466
1297.0,21.0,0.9410112500190736
1303.0,15.0,0.95210862159729
1306.0,17.0,0.948190212249756
1308.0,22.0,0.9330628514289856
1311.0,20.0,0.9271339178085328
1313.0,15.0,0.95210862159729
1313.0,24.0,0.915325403213501
1313.0,15.0,0.95210862159729
1314.0,21.0,0.924554169178009
1315.0,25.0,0.911931812763214
1318.0,17.0,0.937718629837036
1319.0,16.0,0.9484239816665648
1320.0,32.0,0.8257687091827393
1322.0,16.0,0.9348556399345398
1323.0,29.0,0.9125682711601256
1325.0,17.0,0.9500713348388672
1326.0,20.0,0.9413447380065918
1327.0,20.0,0.9350282549858092
