,Non-standard,Watson-Crick,Paired with N,Wobble
317,24,357,0,65
318,24,359,0,64
319,25,367,0,58
320,24,344,2,57
321,26,363,0,59
322,25,347,0,58
323,25,365,0,60
324,25,342,0,64
325,26,355,0,62
326,25,344,0,62
327,25,346,0,54
328,25,361,0,59
329,27,360,0,62
330,26,360,0,65
331,29,365,0,56
332,26,364,0,55
333,26,360,0,62
334,26,351,0,63
335,24,356,0,63
336,25,363,0,61
337,26,358,0,56
338,26,357,0,62
339,26,360,0,64
340,25,367,0,59
341,26,354,0,60
342,26,363,0,59
343,26,355,0,60
344,27,349,0,60
345,25,357,4,57
346,25,366,0,59
347,25,360,0,56
348,25,367,0,57
349,26,362,0,56
350,26,358,0,61
351,27,356,0,62
352,26,355,0,60
353,27,348,0,61
354,24,347,0,55
355,26,349,0,55
356,24,352,0,63
357,26,360,0,57
358,23,355,0,60
359,27,361,0,62
360,23,363,3,59
361,26,359,0,63
362,26,371,0,57
363,28,352,0,61
364,25,360,1,63
365,25,370,0,56
366,27,360,0,61
367,26,364,0,58
368,26,362,0,58
369,26,360,0,62
370,25,364,0,60
371,26,355,0,59
372,27,358,0,61
373,25,356,1,62
374,23,366,0,57
375,26,363,0,59
376,25,357,0,63
377,26,360,0,62
378,26,352,0,60
379,26,362,0,62
380,29,365,0,56
381,26,354,0,60
382,27,360,0,60
383,25,365,0,58
384,26,351,0,63
385,27,359,0,60
386,26,361,0,61
387,27,351,0,60
388,25,360,0,65
389,26,344,0,62
390,26,359,1,63
391,23,359,0,60
392,26,347,0,61
393,24,329,0,63
394,26,361,0,61
395,25,359,1,61
396,24,365,0,55
397,25,365,0,57
398,24,359,0,63
399,25,360,0,63
400,25,361,0,62
401,25,360,0,62
402,25,364,0,58
403,28,362,0,56
404,26,359,0,61
405,25,351,0,60
406,26,354,0,60
407,25,365,0,58
408,26,365,2,55
409,27,355,5,58
410,27,350,0,58
411,26,354,0,62
412,25,341,7,55
413,26,354,1,63
414,25,366,0,60
415,26,359,0,63
416,26,361,0,61
417,27,353,3,64
418,27,367,0,56
419,25,365,0,57
420,27,366,0,56
421,25,368,1,55
422,25,365,4,54
423,26,361,0,60
424,26,356,0,61
425,26,356,0,58
426,25,366,0,60
427,26,358,0,64
428,23,360,0,62
429,23,358,0,62
430,23,359,0,63
431,26,365,0,59
432,25,364,0,59
433,26,362,0,58
434,26,361,0,64
