,Ufold,hotknots,CNNfold,viennaRNA,nussinov,contrafold,RNA_Unet,RNAUnet16
under,0.8596059112806896,0.0722891566010555,0.4697895451094536,0.0,0.0,0.0,0.9625360230044926,0.9698708751290701
all,,,0.6252808465602259,0.0,0.0,0.0,0.9705313258807124,0.9863301787091362
