,Training_loss,Training_f1,Validation_loss,Validation_f1
Baseline \w BCE,"[0.005191907499108192, 0.002608392042457001, 0.0020257830741424224, 0.0016701617090047903, 0.0014139158211199344, 0.0012229739585926927, 0.0010771113192124086, 0.0009601433788919243, 0.0008744847860243289, 0.0007902886659239516]","[0.7920933645887211, 0.874621950910807, 0.9013692978140928, 0.9183665182980513, 0.9298195958905283, 0.9381507104586613, 0.9448327112883752, 0.949890782639621, 0.9538538694407306, 0.9576765670675021]","[0.0077905826447477325, 0.008120878586099394, 0.008885430409025652, 0.006244031174081736, 0.006812793691798175, 0.006894976821180843, 0.0071637205566869085, 0.006831553762207654, 0.0077791872311120495, 0.00851524934568235]","[0.7515140513163711, 0.7544222841367402, 0.7406954546449445, 0.795394661258638, 0.7978494067646363, 0.7840059650749112, 0.7730382570283229, 0.7902137295708744, 0.760538816666505, 0.7675048132989405]"
Global average pooling \w BCE,"[0.005461453007840405, 0.0027456190163625558, 0.002130722130146429, 0.0017478010297075513, 0.0014941375876495883, 0.0013002721056221496, 0.0011608177676202046, 0.0010276825525628438, 0.0009308901095466147, 0.0008476463306005736]","[0.7895514541739872, 0.868426762329964, 0.8974678886146594, 0.9151168855002326, 0.9269999085730778, 0.9353634869760584, 0.9419000861623247, 0.9476405558590215, 0.9520955895625147, 0.9559127237214301]","[0.02447202655909975, 0.026959995113120423, 0.02697071023355605, 0.03032844101405633, 0.029496852313299203, 0.03045874711309928, 0.025891096474164925, 0.02985365244395893, 0.04125981209123018, 0.027784734011983284]","[0.3197650823242978, 0.21354972940424075, 0.28301997094241504, 0.25782671283481795, 0.2974597545754933, 0.25540610153618704, 0.36845059666496643, 0.39007701485394164, 0.16607102064666038, 0.424364141336016]"
Convolutions \w BCE,"[0.005723084545787489, 0.0029796153271487253, 0.0024348510265636857, 0.0020910517925131185, 0.0018287109654608234, 0.001612364459711307, 0.001453365082273828, 0.0013115460558053634, 0.0012040534100700839, 0.001109582947341561]","[0.7766398382815822, 0.8553228208944745, 0.8780190372029412, 0.8941347640642745, 0.9066580859362797, 0.9172034725962713, 0.9246802853330004, 0.9313843004280735, 0.9365006868114488, 0.9409602040101039]","[0.01839330582161363, 0.029717798818910086, 0.014980140780631741, 0.024460024372409617, 0.01980561001026509, 0.02029151558731456, 0.03035640872943434, 0.02899438778201477, 0.04411722585141424, 0.03811009310031434]","[0.4126447926928443, 0.2569199785736349, 0.520243832658315, 0.304305608091318, 0.3608594419845751, 0.530971103652321, 0.32903865073594335, 0.3610130084386176, 0.20847106489657366, 0.3733701995555426]"
Baseline \w MSE,"[0.001412275708358666, 0.0007218185050396083, 0.0005722942983361115, 0.0004880764227465013, 0.0004270645604214188, 0.00038210330120705036, 0.00034606672122797965, 0.00031835359698497237, 0.00029472878250242577, 0.0002744672020641475]","[0.7926379088565912, 0.8691200172852528, 0.8959114959793779, 0.9122027419536295, 0.9233782245678777, 0.9319807301958829, 0.9386071359435598, 0.9440900601430633, 0.9484830341711736, 0.9522839976078761]","[0.002857289199480044, 0.002881219521195773, 0.0028336041701834385, 0.0034162582391700654, 0.003061651354163312, 0.0034244066746252754, 0.003082258032075199, 0.002848281545142916, 0.00281322084841155, 0.003557972728307158]","[0.683172759728288, 0.6966966867569458, 0.6885205619113751, 0.5950655085612356, 0.6195457722938085, 0.5834197172610379, 0.6050761368654214, 0.6493729978054251, 0.6750958569455098, 0.6331296863214376]"
Global average pooling \w MSE,"[0.0014569571414555342, 0.0007515218783495602, 0.0005998386908824141, 0.0005072779040593452, 0.00044715674133787074, 0.0003990335939747511, 0.0003619797278627276, 0.00033294362948138774, 0.000307447453052086, 0.0002877540155937262]","[0.7823215976502617, 0.864210926062204, 0.890870455415426, 0.9087066009608703, 0.9198658929458756, 0.9285984324303345, 0.9357117680200132, 0.9412648862244593, 0.9460503859139144, 0.9497519415737273]","[0.002970034825428714, 0.004337752837486816, 0.0038803409365490284, 0.004565881953556844, 0.0030519723773482646, 0.002069033358315636, 0.003864457560713531, 0.005112168408570922, 0.004266791771725523, 0.0035577750808532707]","[0.5399231763960024, 0.3997314584009334, 0.44879205236205033, 0.39507486167695116, 0.639176598287266, 0.7161676684232343, 0.5099670515511239, 0.3598081112199037, 0.4994561565686285, 0.6155712581696047]"
Convolutions \w MSE,"[0.001594974696522844, 0.0007903082042328903, 0.0006591301064413908, 0.000575528488359781, 0.0005171607268778811, 0.00047425945276711296, 0.00043669630976051816, 0.00040732729157678846, 0.0003822269514903631, 0.0003599715181651747]","[0.7693840852883009, 0.8550615674311023, 0.8768561633949169, 0.8916773048758558, 0.9029109477868864, 0.9114170971872367, 0.9185189304483863, 0.924188032094989, 0.9292356910803841, 0.9333800266258908]","[0.0051736125214537, 0.00470411793243126, 0.005603460305469491, 0.005247263500426728, 0.005133962136576165, 0.005385421388717132, 0.005464794443171175, 0.005707770263936723, 0.004492660478800165, 0.00541363212574724]","[0.3839821397870105, 0.31889401695795094, 0.35957935261983753, 0.3440617188923648, 0.42357720106309044, 0.38455188227402504, 0.31474934971423446, 0.28434096208203524, 0.47245111660629696, 0.3779448517767369]"
Baseline \w DICE,"[0.13396657171450033, 0.08000599563045019, 0.06324083445767263, 0.05333371924043674, 0.046453197696476135, 0.0415596915704081, 0.03769543546625041, 0.03451244890971366, 0.03194736477744175, 0.02980779992402905]","[0.8464809676383559, 0.9070757710969515, 0.9263005011784974, 0.9378502724353927, 0.9458976525255107, 0.9517349861629432, 0.9563909661007214, 0.9601998414717913, 0.9632031268779686, 0.9658009533592435]","[0.20467862276445928, 0.20138885653778818, 0.19548551659619995, 0.2428727806472386, 0.20832277377882258, 0.2159833153116123, 0.21963222509708366, 0.21628987272362582, 0.23704602470783603, 0.2407167392327738]","[0.7490902216345419, 0.7612187574433088, 0.75945163741861, 0.7103813460340559, 0.7632471366266504, 0.7472087955019342, 0.7406017133727353, 0.7359138237078807, 0.7305213724345357, 0.7172665437523881]"
Global average pooling \w DICE,"[0.13253849232437376, 0.07981715624093907, 0.06283922643301158, 0.0530088295236377, 0.04623231283325451, 0.04119768771248961, 0.0373257036422035, 0.034011960853676575, 0.03138579802740383, 0.029242617421623155]","[0.8476676457303629, 0.9070807722798229, 0.9268013226187449, 0.9381449085389559, 0.9462571754968437, 0.9522544301979119, 0.9568538832812925, 0.960747992603397, 0.9639210162038914, 0.9664432120481854]","[0.21790896918856992, 0.2066314598115198, 0.21830560180158792, 0.23699610978058547, 0.27295108557237674, 0.23152008693540155, 0.27988299643691067, 0.24607202151280874, 0.2771351486138075, 0.25242776722430854]","[0.7565968249138697, 0.7637959067097586, 0.7536725541800159, 0.7163573598630875, 0.6853734983758129, 0.7316207569284011, 0.6844788917210758, 0.7209014313792104, 0.6894351319193514, 0.7187684488937902]"
Convolutions \w DICE,"[0.145316517634574, 0.09612262539722316, 0.08091243273610975, 0.07099597619909645, 0.06328331067256018, 0.057299315141167644, 0.052392536916155426, 0.04802507551098238, 0.044811912543172745, 0.041946671642730964]","[0.8336450598231437, 0.8887501704431798, 0.9062793836950898, 0.917823826360723, 0.9268504492353092, 0.9338997911823416, 0.9394903252133999, 0.9447449770210229, 0.948528980548518, 0.951968908627282]","[0.25421744333790786, 0.19274026247391232, 0.20704933175736703, 0.21162394690056055, 0.22041624138990928, 0.18970511493166478, 0.18688717846023947, 0.16832872191629156, 0.19306629624490954, 0.2046720481964723]","[0.6980168202239573, 0.7729602661583831, 0.7585523889908814, 0.7527406177878625, 0.7373641713371091, 0.7711750305397532, 0.7792290831425159, 0.8025952964980281, 0.7740792502802966, 0.7605371423744844]"
