length,family,RNAUnet16_precision,RNAUnet16_recall,RNAUnet16_f1,RNAUnet16_precision_shift,RNAUnet16_recall_shift,RNAUnet16_f1_shift
64,tRNA,1.0,0.6666666865348816,0.800000011920929,1.0,0.6666666865348816,0.800000011920929
70,tRNA,0.9722222089767456,1.0,0.98591548204422,0.9722222089767456,1.0,0.98591548204422
70,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
70,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
70,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.9772727489471436,1.0,0.9885057806968689,0.9772727489471436,1.0,0.9885057806968689
71,tRNA,0.9750000238418579,1.0,0.9873417615890503,0.9750000238418579,1.0,0.9873417615890503
71,tRNA,0.9736841917037964,0.9487179517745972,0.9610389471054077,0.9736841917037964,0.9487179517745972,0.9610389471054077
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.7749999761581421,0.7948718070983887,0.7848101258277893,0.925000011920929,0.9487179517745972,0.9367088675498962
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,0.9736841917037964,1.0,0.9866666793823242,0.9736841917037964,1.0,0.9866666793823242
71,tRNA,0.976190447807312,1.0,0.9879518151283264,0.976190447807312,1.0,0.9879518151283264
71,tRNA,1.0,1.0,1.0,1.0,1.0,1.0
