length,family,nussinov_precision,nussinov_recall,nussinov_f1,nussinov_precision_shift,nussinov_recall_shift,nussinov_f1_shift,viennaRNA_precision,viennaRNA_recall,viennaRNA_f1,viennaRNA_precision_shift,viennaRNA_recall_shift,viennaRNA_f1_shift,contrafold_precision,contrafold_recall,contrafold_f1,contrafold_precision_shift,contrafold_recall_shift,contrafold_f1_shift,CNNfold_precision,CNNfold_recall,CNNfold_f1,CNNfold_precision_shift,CNNfold_recall_shift,CNNfold_f1_shift,RNAUnet_precision,RNAUnet_recall,RNAUnet_f1,RNAUnet_precision_shift,RNAUnet_recall_shift,RNAUnet_f1_shift
76,tRNA,0.2962962985038757,0.380952388048172,0.3333333134651184,0.4074074029922485,0.523809552192688,0.4583333432674408,0.4583333432674408,0.523809552192688,0.4888888895511627,0.5416666865348816,0.6190476417541504,0.5777778029441833,0.4230769276618957,0.523809552192688,0.4680851399898529,0.5,0.6190476417541504,0.5531914830207825,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9523809552192688,0.9756097793579102,1.0,0.9523809552192688,0.9756097793579102
450,group I intron,0.0377358496189117,0.0588235296308994,0.0459770150482654,0.0440251566469669,0.0686274543404579,0.0536398477852344,0.4366197288036346,0.6078431606292725,0.5081967711448669,0.4507042169570923,0.6274510025978088,0.5245901346206665,0.6029411554336548,0.8039215803146362,0.6890755891799927,0.6102941036224365,0.813725471496582,0.6974790096282959,0.7560975551605225,0.6078431606292725,0.6739130616188049,0.7682926654815674,0.6176470518112183,0.6847826242446899,0.7064220309257507,0.7549019455909729,0.7298578023910522,0.7064220309257507,0.7549019455909729,0.7298578023910522
120,5S rRNA,0.1627907007932663,0.2413793057203292,0.1944444477558136,0.1627907007932663,0.2413793057203292,0.1944444477558136,0.1052631586790084,0.1379310339689254,0.1194029822945594,0.1842105239629745,0.2413793057203292,0.2089552134275436,0.1111111119389534,0.1379310339689254,0.1230769157409668,0.1944444477558136,0.2413793057203292,0.2153846174478531,0.3478260934352875,0.2758620679378509,0.3076923191547394,0.4347825944423675,0.3448275923728943,0.3846153914928436,0.91304349899292,0.7241379022598267,0.807692289352417,1.04347825050354,0.8275862336158752,0.9230769872665404
119,5S rRNA,0.1395348906517028,0.1714285761117935,0.1538461744785308,0.1860465109348297,0.2285714298486709,0.2051281929016113,0.8888888955116272,0.9142857193946838,0.9014084339141846,0.9166666865348816,0.9428571462631226,0.9295774698257446,0.5952380895614624,0.7142857313156128,0.649350643157959,0.6428571343421936,0.7714285850524902,0.701298713684082,0.8620689511299133,0.7142857313156128,0.7812499403953552,0.931034505367279,0.7714285850524902,0.8437499403953552,1.0,0.9714285731315612,0.9855071902275084,1.0,0.9714285731315612,0.9855071902275084
270,SRP,0.1326530575752258,0.1604938209056854,0.1452513933181762,0.1632653027772903,0.1975308656692505,0.1787709444761276,0.7045454382896423,0.7654321193695068,0.7337278127670288,0.75,0.8148148059844971,0.7810651063919067,0.2025316506624221,0.1975308656692505,0.2000000178813934,0.2025316506624221,0.1975308656692505,0.2000000178813934,0.9552238583564758,0.790123462677002,0.8648648858070374,0.9552238583564758,0.790123462677002,0.8648648858070374,1.0,0.9753086566925048,0.987500011920929,1.0,0.9753086566925048,0.987500011920929
314,RNaseP,0.1754385977983474,0.2083333283662796,0.1904761791229248,0.1754385977983474,0.2083333283662796,0.1904761791229248,0.5,0.53125,0.5151515007019043,0.5098039507865906,0.5416666865348816,0.5252525806427002,0.3909091055393219,0.4479166567325592,0.4174757301807403,0.4272727370262146,0.4895833432674408,0.4563107192516327,0.6363636255264282,0.5104166865348816,0.5664740204811096,0.6883116960525513,0.5520833134651184,0.6127166748046875,1.0,0.8645833134651184,0.927374303340912,1.0,0.8645833134651184,0.927374303340912
384,tmRNA,0.1984732896089553,0.25,0.2212766110897064,0.1984732896089553,0.25,0.2212766110897064,0.3675213754177093,0.4134615361690521,0.389140248298645,0.3675213754177093,0.4134615361690521,0.389140248298645,0.3214285671710968,0.3461538553237915,0.3333333432674408,0.3214285671710968,0.3461538553237915,0.3333333432674408,0.924731194972992,0.8269230723381042,0.8730964660644531,0.924731194972992,0.8269230723381042,0.8730964660644531,1.0,0.8942307829856873,0.9441624283790588,1.0,0.8942307829856873,0.9441624283790588
120,5S rRNA,0.2325581461191177,0.2777777910232544,0.2531645894050598,0.2325581461191177,0.2777777910232544,0.2531645894050598,0.7297297120094299,0.75,0.7397260665893555,0.7297297120094299,0.75,0.7397260665893555,0.7272727489471436,0.6666666865348816,0.6956521272659302,0.7272727489471436,0.6666666865348816,0.6956521272659302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9722222089767456,0.98591548204422,1.0,0.9722222089767456,0.98591548204422
352,RNaseP,0.0593220330774784,0.0693069323897361,0.0639269426465034,0.0593220330774784,0.0693069323897361,0.0639269426465034,0.7102803587913513,0.7524752616882324,0.7307692170143127,0.7476635575294495,0.7920792102813721,0.7692307829856873,0.6203703880310059,0.6633663177490234,0.6411483287811279,0.6203703880310059,0.6633663177490234,0.6411483287811279,0.8064516186714172,0.7425742745399475,0.7731959223747253,0.8064516186714172,0.7425742745399475,0.7731959223747253,0.976190447807312,0.8118811845779419,0.8864865303039551,0.976190447807312,0.8118811845779419,0.8864865303039551
118,5S rRNA,0.1428571492433548,0.1818181872367859,0.1600000113248825,0.190476194024086,0.2424242496490478,0.2133333534002304,0.7142857313156128,0.7575757503509521,0.7352941036224365,0.7142857313156128,0.7575757503509521,0.7352941036224365,0.4642857015132904,0.3939394056797027,0.4262295067310333,0.4642857015132904,0.3939394056797027,0.4262295067310333,0.9666666388511658,0.8787878751754761,0.920634925365448,0.9666666388511658,0.8787878751754761,0.920634925365448,1.0,0.9696969985961914,0.9846153855323792,1.0,0.9696969985961914,0.9846153855323792
270,SRP,0.0421052649617195,0.0444444455206394,0.0432432405650615,0.0421052649617195,0.0444444455206394,0.0432432405650615,0.6428571343421936,0.699999988079071,0.6702127456665039,0.6938775777816772,0.7555555701255798,0.7234043478965759,0.6499999761581421,0.7222222089767456,0.6842105388641357,0.6800000071525574,0.7555555701255798,0.7157894968986511,0.9655172228813172,0.9333333373069764,0.9491525292396544,0.988505721092224,0.9555555582046508,0.9717513918876648,1.0,0.9888888597488404,0.9944133758544922,1.0,0.9888888597488404,0.9944133758544922
120,5S rRNA,0.1818181872367859,0.2285714298486709,0.2025316655635833,0.1818181872367859,0.2285714298486709,0.2025316655635833,0.875,1.0,0.9333333373069764,0.875,1.0,0.9333333373069764,0.2195121943950653,0.2571428716182709,0.2368421107530594,0.2195121943950653,0.2571428716182709,0.2368421107530594,0.945945918560028,1.0,0.9722221493721008,0.945945918560028,1.0,0.9722221493721008,1.0,0.9714285731315612,0.9855071902275084,1.0,0.9714285731315612,0.9855071902275084
120,5S rRNA,0.1818181872367859,0.2352941185235977,0.2051282078027725,0.2045454531908035,0.2647058963775635,0.2307692319154739,0.75,0.8823529481887817,0.8108108639717102,0.7749999761581421,0.911764681339264,0.8378377556800842,0.75,0.8823529481887817,0.8108108639717102,0.800000011920929,0.9411764740943908,0.8648648858070374,0.9642857313156128,0.7941176295280457,0.8709678053855896,0.9642857313156128,0.7941176295280457,0.8709678053855896,1.0,0.970588207244873,0.9850746393203736,1.0,0.970588207244873,0.9850746393203736
280,SRP,0.1212121248245239,0.1395348906517028,0.1297297328710556,0.1515151560306549,0.1744185984134674,0.1621621549129486,0.1808510571718216,0.197674423456192,0.1888888776302337,0.1808510571718216,0.197674423456192,0.1888888776302337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9651162624359132,0.9822484850883484,1.0,0.9651162624359132,0.9822484850883484,1.0,0.9651162624359132,0.9822484850883484,1.0,0.9651162624359132,0.9822484850883484
118,5S rRNA,0.170731708407402,0.21875,0.1917808204889297,0.170731708407402,0.21875,0.1917808204889297,0.3157894611358642,0.375,0.3428571224212646,0.3157894611358642,0.375,0.3428571224212646,0.6944444179534912,0.78125,0.7352941036224365,0.6944444179534912,0.78125,0.7352941036224365,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96875,0.9841269850730896,1.0,0.96875,0.9841269850730896
118,5S rRNA,0.0930232554674148,0.1176470592617988,0.1038961037993431,0.1627907007932663,0.2058823555707931,0.1818181872367859,0.675000011920929,0.7941176295280457,0.7297297120094299,0.75,0.8823529481887817,0.8108108639717102,0.8157894611358643,0.911764681339264,0.8611111640930176,0.8421052694320679,0.9411764740943908,0.8888888955116272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.970588207244873,0.9850746393203736,1.0,0.970588207244873,0.9850746393203736
302,SRP,0.1111111119389534,0.1188118830323219,0.1148325353860855,0.1388888955116272,0.1485148519277572,0.1435406655073166,0.5742574334144592,0.5742574334144592,0.5742574334144592,0.603960394859314,0.603960394859314,0.603960394859314,0.8039215803146362,0.8118811845779419,0.807881772518158,0.8235294222831726,0.8316831588745117,0.8275861740112305,0.946666657924652,0.7029703259468079,0.8068182468414307,0.9733333587646484,0.7227723002433777,0.8295454382896423,0.9789473414421082,0.9207921028137208,0.9489795565605164,0.9789473414421082,0.9207921028137208,0.9489795565605164
370,tmRNA,0.0,0.0,0.0,0.0387596897780895,0.0471698120236396,0.0425531938672065,0.5315315127372742,0.5566037893295288,0.5437788367271423,0.5405405163764954,0.5660377144813538,0.5529953837394714,0.5961538553237915,0.5849056839942932,0.5904762148857117,0.6057692170143127,0.5943396091461182,0.6000000238418579,0.963302731513977,0.9905660152435304,0.9767441749572754,0.963302731513977,0.9905660152435304,0.9767441749572754,1.0,0.9905660152435304,0.9952606558799744,1.0,0.9905660152435304,0.9952606558799744
375,RNaseP,0.0238095242530107,0.0277777779847383,0.0256410259753465,0.0634920671582222,0.0740740746259689,0.0683760643005371,0.2966101765632629,0.3240740597248077,0.3097344934940338,0.3389830589294433,0.3703703582286834,0.3539822697639465,0.568965494632721,0.6111111044883728,0.589285671710968,0.6120689511299133,0.6574074029922485,0.6339285373687744,0.8421052694320679,0.5925925970077515,0.695652186870575,0.8684210777282715,0.6111111044883728,0.7173912525177002,0.9672130942344666,0.5462962985038757,0.6982248425483704,0.9836065769195556,0.5555555820465088,0.7100591659545898
125,5S rRNA,0.0,0.0,0.0,0.0,0.0,0.0,0.550000011920929,0.6470588445663452,0.5945945978164673,0.550000011920929,0.6470588445663452,0.5945945978164673,0.8717948794364929,1.0,0.9315068125724792,0.8717948794364929,1.0,0.9315068125724792,0.9714285731315612,1.0,0.9855071902275084,0.9714285731315612,1.0,0.9855071902275084,1.0,0.970588207244873,0.9850746393203736,1.0,0.970588207244873,0.9850746393203736
