,precision,recall,f1,precision_shift,recall_shift,f1_shift,f1_weighted
archiveII,0.02005289253063969,0.033235364424289995,0.02491915034694386,0.04324441206725705,0.07170854376301634,0.05373865095336208,0.01549787120035952
RNAStralign,0.015316027262034076,0.026274639203538216,0.019328425465684456,0.033434815029394,0.057454993515501325,0.04221777241376435,0.004234410106172177
combined,0.017765534708626567,0.0298741395682456,0.022219477132122516,0.03850751176653182,0.06482572827189559,0.048175399699697155,0.007749061050366927
