IL,BL,HL
,,
,3.9,
4.1,3.1,
4.5,3.5,4.5
4.9,4.2,5.5
5.3,4.8,4.9
5.7,5.0,5.1
5.9,5.2,5.2
6.0,5.3,5.5
6.1,5.4,5.8
6.3,5.5,5.9
